子类,count,mean,median,std,cv,min,max,p10,p90,suggested_threshold
普通桥架,194,62.14,50.55,46.89,0.755,9.3,301.61,16.97,118.93,1.132
托盘式桥架,108,86.91,68.56,62.94,0.724,13.59,306.5,25.77,176.23,1.086
线槽,93,60.4,40.0,50.42,0.835,5.6,224.0,14.33,130.6,1.252
槽式桥架,89,60.87,51.04,43.17,0.709,12.46,233.93,21.81,110.94,1.064
梯式桥架,58,68.34,57.92,36.59,0.535,18.4,164.01,29.54,121.13,0.802
其他,33,41.67,35.2,24.82,0.596,13.6,103.0,18.4,76.0,0.894
复合桥架,26,72.33,59.7,41.92,0.58,22.6,165.0,25.8,138.0,0.87
防水桥架,22,86.73,74.05,52.46,0.605,23.5,214.1,39.69,172.01,0.908
铝合金桥架,19,124.29,114.2,61.64,0.496,38.43,236.59,59.94,217.99,0.744
竖井桥架,14,56.83,50.45,20.64,0.363,30.5,102.3,36.04,85.06,0.544
弱电桥架,6,38.4,27.58,22.51,0.586,20.96,72.99,20.96,66.66,0.879
