子类,count,mean,median,std,cv,min,max,p10,p90,suggested_threshold
其他,725,602.09,462.0,531.98,0.884,14.0,3599.0,159.0,1193.2,1.326
防火阀,580,694.24,448.0,835.3,1.203,123.0,9956.0,198.8,1352.3,1.804
调节阀,434,338.8,217.0,434.36,1.282,42.0,6163.0,85.0,724.8,1.923
格栅风口,338,267.26,136.0,405.44,1.517,23.0,3869.0,44.0,596.0,2.276
消声器/静压箱,280,1934.56,1597.5,1560.64,0.807,374.0,10910.0,682.0,3177.6,1.211
其他风口,201,536.74,242.0,928.01,1.729,28.0,5847.0,68.0,1067.0,2.594
百叶风口,191,135.66,86.0,140.68,1.037,21.0,801.0,29.0,326.0,1.555
止回阀,114,252.62,192.5,260.54,1.031,63.0,1848.0,81.3,412.0,1.546
送风口/排烟口,85,1190.36,1065.0,1059.02,0.89,180.0,7983.0,328.8,1715.6,1.335
电动风阀,56,698.5,462.0,488.36,0.699,259.0,3077.0,295.5,1153.5,1.048
定风量阀,43,250.81,217.0,100.27,0.4,116.0,494.0,143.2,387.0,0.6
散流器,32,114.0,90.0,77.2,0.677,43.0,400.0,55.0,183.0,1.016
排烟阀,20,586.05,518.5,199.14,0.34,357.0,983.0,373.2,837.1,0.51
