序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
1,彩钢桥架,50*50,,,,,4352,米,,,16,69632,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
2,彩钢桥架,100*100,,,,,4727,米,,,27,127629,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
3,彩钢桥架,100*50,,,,,8152,米,,,21,171192,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
4,彩钢桥架,150*100,,,,,526,米,,,33,17358,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
5,彩钢桥架,200*100,,,,,3034,米,,,37,112258,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
6,彩钢桥架,200*150,,,,,912,米,,,45,41040,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
7,彩钢桥架,300*100,,,,,49,米,,,56,2744,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
8,彩钢桥架,300*150,,,,,84,米,,,62,5208,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
9,彩钢桥架,300*200,,,,,268,米,,,70,18760,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
10,彩钢桥架,400*100,,,,,459,米,,,69,31671,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
11,彩钢桥架,400*150,,,,,30,米,,,74,2220,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
12,彩钢桥架,400*200,,,,,171,米,,,82,14022,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
13,彩钢桥架,600*150,,,,,30,米,,,114,3420,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
14,彩钢桥架,600*200,,,,,543,米,,,121,65703,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
15,彩钢桥架,800*150,,,,,12,米,,,151,1812,永琪,,无预付款；货到现场后二个月付至到货款的70%；工程竣工验收合格后付至到货款的80%；结算完成付至95%；质保金二年期满付清余款5%
