序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
1,模压型槽式桥架（消防）,100x70,彩钢,0.8,0.8,0.6,460.21,m,12.46,4.4,16.86,7759.1406,庞大电气,,
2,模压型槽式桥架（消防）,150*100,彩钢,0.8,0.8,0.6,204.02,m,17.36,6.08,23.439999999999998,4782.2288,庞大电气,,
3,模压型槽式桥架（消防）,200*100,彩钢,0.8,0.8,0.6,163.8,m,19.58,7.78,27.36,4481.568,庞大电气,,
4,模压型槽式桥架（消防）,200*150,彩钢,0.8,0.8,0.6,22814.38,m,24.03,7.78,31.810000000000002,725725.4278000001,庞大电气,,
5,模压型槽式桥架（消防）,300*150,彩钢,1,1,0.6,3734.7,m,33.92,11.17,45.09,168397.623,庞大电气,,
6,模压型槽式桥架（消防）,400*150,彩钢,1,1,0.6,2895.48,m,39.23,19.72,58.949999999999996,170688.546,庞大电气,,
7,模压型槽式桥架（消防）,400*200,彩钢,1,1,0.6,114.97,m,44.53,19.72,64.25,7386.8225,庞大电气,,
8,模压型槽式桥架（消防）,500*150,彩钢,1.2,1.2,0.6,251.03,m,51.68,24.3,75.98,19073.259400000003,庞大电气,,
9,模压型槽式桥架（消防）,600*200,彩钢,1.2,1.2,0.6,1686.07,m,68.42,28.89,97.31,164071.4717,庞大电气,,
10,模压型槽式桥架（消防）,800*200,彩钢,1.5,1.5,0.6,274.49,m,92.13,38.07,130.2,35738.598,庞大电气,,
11,模压型槽式桥架,100*70,彩钢,0.8,0.8,0.6,2231.89,m,12.46,4.4,16.86,37629.6654,庞大电气,,
12,模压型槽式桥架,100x100,彩钢,0.8,0.8,0.6,617.1,m,15.13,4.4,19.53,12051.963000000002,庞大电气,,
13,模压型槽式桥架,150*80,彩钢,0.8,0.8,0.6,3049.66,m,15.58,6.08,21.66,66055.6356,庞大电气,,
14,模压型槽式桥架,150*100,彩钢,0.8,0.8,0.6,4909.94,m,17.36,6.08,23.439999999999998,115088.99359999997,庞大电气,,
15,模压型槽式桥架,200*100,彩钢,0.8,0.8,0.6,28131.55,m,19.58,7.78,27.36,769679.208,庞大电气,,
