序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
1,镀锌托盘桥架(CT3),800*100,热镀锌,2,2,1.8,663,m,110,54,164,108732,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
2,镀锌托盘桥架(CT3),800*150,热镀锌,2,2,1.8,570,m,121,54,175,99750,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
3,镀锌托盘桥架(CT3),400*200,热镀锌,1.5,1.5,1.2,24,m,63,19,82,1968,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
4,镀锌托盘桥架(CT3),200*100,热镀锌,1,1,0.8,200,m,27.5,6.5,34,6800,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
5,镀锌金属桥架(SR),600*200,热镀锌,2,2,1.8,60,m,106,42,148,8880,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
6,镀锌金属桥架(SR),400*100,热镀锌,1.2,1.2,0.8,10,m,49,19,68,680,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
7,镀锌金属桥架(SR),400*150,热镀锌,1.2,1.2,0.8,858,m,50,19,69,59202,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
8,镀锌金属桥架(SR),400*200,热镀锌,1.5,1.5,1.2,24,m,62,19,81,1944,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
9,镀锌金属桥架(SR),300*200,热镀锌,1.5,1.5,1.2,393,m,55,13,68,26724,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
10,镀锌金属桥架(SR),300*100,热镀锌,1.5,1.5,1.2,1630,m,41,13,54,88020,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
11,镀锌金属桥架(SR),200*200,热镀锌,1,1,0.8,10,m,39.5,6.5,46,460,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
12,镀锌金属桥架(SR),200*100,热镀锌,1,1,0.8,3240,m,25.5,6.5,32,103680,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
13,镀锌金属桥架(SR),100*100,热镀锌,1,1,0.8,175,m,16,3.5,19.5,3412.5,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
14,镀锌金属桥架(SR),100*50,热镀锌,1,1,0.8,1900,m,12.5,3.5,16,30400,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
15,防火金属线槽(FR),800*100,热镀锌,2,2,1.8,14,m,108,60,168,2352,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
16,防火金属线槽(FR),600*200,热镀锌,2,2,1.8,10,m,104,46,150,1500,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
17,防火金属线楷(FR),600*100,热镀锌,2,2,1.8,140,m,103,42,145,20300,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
18,防火金属线槽(FR),400*100,热镀锌,1.5,1.5,1.2,400,m,48,17,65,26000,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
19,防火金属线槽(FR),300*100,热镀锌,1.2,1.2,0.8,2000,m,0,43,43,86000,上海振大,JB/T 10216-2013,2025.4.3；（1）、无预付款；（2）、货到现场验收合格一个月内付至送货金额的 80%；（3）、工程竣工验收合格付至送货金额的 90%；（4）、甲方与业主结算完成移交档案资料且通过档案验收后付至结算金额的97%；（5）、留 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
