序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
1,热浸锌桥架,300*100,钢制,1.2,1.2,1,124,m,53,27,80,9920,江苏华鹏,JB/T 10216-2013,"普通电力金属桥架(防水型)，2025.3.4，(1)预付款无；
(2)货到现场验收合格两个月内支付到货款的80%;
(3)结算审核后支付至90%;
(4)甲方与业主结算完成后付至审核金额的97%。
（5）质保3%，两年"
2,热浸锌桥架,200*100,钢制,1.2,1.2,1,34,m,48,23,71,2414,江苏华鹏,JB/T 10216-2013,"普通电力金属桥架(防水型)，2025.3.4，(1)预付款无；
(2)货到现场验收合格两个月内支付到货款的80%;
(3)结算审核后支付至90%;
(4)甲方与业主结算完成后付至审核金额的97%。
（5）质保3%，两年"
3,热镀锌桥架,300*150,钢制,1.2,1.2,1,3317,m,37,16,53,175801,江苏华鹏,JB/T 10216-2013,"桥架，2025.3.4，(1)预付款无；
(2)货到现场验收合格两个月内支付到货款的80%;
(3)结算审核后支付至90%;
(4)甲方与业主结算完成后付至审核金额的97%。
（5）质保3%，两年"
4,热镀锌桥架,300*100,钢制,1.2,1.2,1,1780,m,31,16,47,83660,江苏华鹏,JB/T 10216-2013,"桥架，2025.3.4，(1)预付款无；
(2)货到现场验收合格两个月内支付到货款的80%;
(3)结算审核后支付至90%;
(4)甲方与业主结算完成后付至审核金额的97%。
（5）质保3%，两年"
5,热镀锌桥架,400*100,钢制,1.5,1.5,1.2,126,m,46,26,72,9072,江苏华鹏,JB/T 10216-2013,"桥架，2025.3.4，(1)预付款无；
(2)货到现场验收合格两个月内支付到货款的80%;
(3)结算审核后支付至90%;
(4)甲方与业主结算完成后付至审核金额的97%。
（5）质保3%，两年"
6,热镀锌桥架,200*100,钢制,1.2,1.2,工,757,m,25,11,36,27252,江苏华鹏,JB/T 10216-2013,"桥架，2025.3.4，(1)预付款无；
(2)货到现场验收合格两个月内支付到货款的80%;
(3)结算审核后支付至90%;
(4)甲方与业主结算完成后付至审核金额的97%。
（5）质保3%，两年"
7,热镀锌桥架,400*150,钢制,1.5,1.5,1.2,191,m,53,26,79,15089,江苏华鹏,JB/T 10216-2013,"桥架，2025.3.4，(1)预付款无；
(2)货到现场验收合格两个月内支付到货款的80%;
(3)结算审核后支付至90%;
(4)甲方与业主结算完成后付至审核金额的97%。
（5）质保3%，两年"
8,热镀锌桥架,500*150,钢制,1.5,1.5,1.2,234,m,61,31,92,21528,江苏华鹏,JB/T 10216-2013,"桥架，2025.3.4，(1)预付款无；
(2)货到现场验收合格两个月内支付到货款的80%;
(3)结算审核后支付至90%;
(4)甲方与业主结算完成后付至审核金额的97%。
（5）质保3%，两年"
6,热镀锌桥架,600*150,钢制,2,2,1.5,162,m,90,47,137,22194,江苏华鹏,JB/T 10216-2013,"桥架，2025.3.4，(1)预付款无；
(2)货到现场验收合格两个月内支付到货款的80%;
(3)结算审核后支付至90%;
(4)甲方与业主结算完成后付至审核金额的97%。
（5）质保3%，两年"
10,热镀锌桥架,100*100,钢制,1,1,0.8,20,m,16,5,21,420,江苏华鹏,JB/T 10216-2013,"桥架，2025.3.4，(1)预付款无；
(2)货到现场验收合格两个月内支付到货款的80%;
(3)结算审核后支付至90%;
(4)甲方与业主结算完成后付至审核金额的97%。
（5）质保3%，两年"
