序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
1,热浸锌桥架,（100+100）*150,,,,,0,米,,,,88,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
2,热浸锌桥架,（150+150）*150,,,,,0,米,,,,108,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
3,热浸锌桥架,（200+200）*150,,,,,0,米,,,,146,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
4,热浸锌桥架,（200+200）*200,,,,,0,米,,,,163,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
5,热浸锌桥架,（400+400）*150,,,,,0,米,,,,277,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
6,热浸锌桥架,（500+500）*200,,,,,0,米,,,,424,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
7,热浸锌桥架,（600+600）*200,,,,,0,米,,,,485,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
8,热浸锌桥架,（300+300）*200,,,,,0,米,,,,246,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
9,热浸锌桥架,（150+150）*200,,,,,0,米,,,,125,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
10,热浸锌桥架,（100+100）*100,,,,,0,米,,,,75,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
11,热浸锌桥架,（100+100）*200,,,,,0,米,,,,106,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
12,热浸锌桥架,（50+50）*100,,,,,0,米,,,,49,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
13,热浸锌桥架,100*100,,,,,0,米,,,,41,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
14,热浸锌桥架,100*50,,,,,0,米,,,,30,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
15,热浸锌桥架,100*75,,,,,0,米,,,,37,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
16,热浸锌桥架,200*100,,,,,0,米,,,,66,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
17,热浸锌桥架,200*150,,,,,0,米,,,,75,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
18,热浸锌桥架,300*100,,,,,0,米,,,,75,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
19,热浸锌桥架,300*150,,,,,0,米,,,,95,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
20,热浸锌桥架,400*200,,,,,0,米,,,,144,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
21,热浸锌桥架,500*100,,,,,0,米,,,,142,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
22,热浸锌桥架,500*150,,,,,0,米,,,,153,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
23,热浸锌桥架,1000*200,,,,,0,米,,,,400,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
24,热浸锌桥架,1000*150,,,,,0,米,,,,381,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
25,热浸锌桥架,1000*100,,,,,0,米,,,,359,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
26,热浸锌桥架,800*200,,,,,0,米,,,,274,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
27,热浸锌桥架,800*150,,,,,0,米,,,,260,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
28,热浸锌桥架,800*100,,,,,0,米,,,,246,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
29,热浸锌桥架,600*150,,,,,0,米,,,,207,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
30,热浸锌桥架,600*100,,,,,0,米,,,,192,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
31,热浸锌桥架,500*200,,,,,0,米,,,,165,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
32,热浸锌桥架,400*150,,,,,0,米,,,,131,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
33,热浸锌桥架,400*100,,,,,0,米,,,,120,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
34,热浸锌桥架,300*200,,,,,0,米,,,,106,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
35,热浸锌桥架,200*200,,,,,0,米,,,,85,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
36,热浸锌桥架（下带滴水孔）,（50+50）*75,,,,,0,米,,,,43,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
37,热浸锌桥架（下带滴水孔）,（50+50）*100,,,,,0,米,,,,49,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
38,热浸锌桥架（下带滴水孔）,（100+100）*100,,,,,0,米,,,,75,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
39,热浸锌桥架（下带滴水孔）,（100+100）*200,,,,,0,米,,,,106,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
40,热浸锌桥架（下带滴水孔）,（150+150）*200,,,,,0,米,,,,125,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
41,热浸锌桥架（下带滴水孔）,（150+150）*100,,,,,0,米,,,,92,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
42,热浸锌桥架（下带滴水孔）,（200+200）*100,,,,,0,米,,,,129,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
43,热浸锌桥架（下带滴水孔）,（200+200）*150,,,,,0,米,,,,146,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
44,热浸锌桥架（下带滴水孔）,（200+200）*200,,,,,0,米,,,,163,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
45,热浸锌桥架,100*100,,,,,0,米,,,,41,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
46,热浸锌桥架,200*100,,,,,0,米,,,,66,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
47,热浸锌桥架,200*200,,,,,0,米,,,,85,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
48,热浸锌桥架,300*100,,,,,0,米,,,,75,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
49,热浸锌桥架,300*200,,,,,0,米,,,,106,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
50,热浸锌桥架,400*200,,,,,0,米,,,,144,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
51,热浸锌桥架,400*100,,,,,0,米,,,,120,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
52,热浸锌桥架,500*100,,,,,0,米,,,,142,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
53,热浸锌桥架,500*200,,,,,0,米,,,,165,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
54,热浸锌桥架外刷防火涂料,（100+100）*100,,,,,0,米,,,,83,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
55,热浸锌桥架外刷防火涂料,（75+75）*100,,,,,0,米,,,,66,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
56,热浸锌桥架外刷防火涂料,（100+100）*150,,,,,0,米,,,,99,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
57,热浸锌桥架外刷防火涂料,（100+100）*200,,,,,0,米,,,,120,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
58,热浸锌桥架外刷防火涂料,（100+100）*50,,,,,0,米,,,,65,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
59,热浸锌桥架外刷防火涂料,（150+150）*150,,,,,0,米,,,,122,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
60,热浸锌桥架外刷防火涂料,（150+150）*100,,,,,0,米,,,,104,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
61,热浸锌桥架外刷防火涂料,（150+150）*200,,,,,0,米,,,,141,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
62,热浸锌桥架外刷防火涂料,（200+200）*150,,,,,0,米,,,,163,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
63,热浸锌桥架外刷防火涂料,（200+200）*100,,,,,0,米,,,,143,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
64,热浸锌桥架外刷防火涂料,（200+200）*150,,,,,0,米,,,,163,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
65,热浸锌桥架外刷防火涂料,（200+200）*200,,,,,0,米,,,,182,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
66,热浸锌桥架外刷防火涂料,（300+300）*150,,,,,0,米,,,,253,天源华威,,各弯通的价格为各直通每米单价×上浮系数，封头系数0.2、弯通系数1.1、三通系数1.4、四通系数1.6，非标弯通另按实际延长米结算。无预付款，货到现场验收合格60天付至80%，调试完毕付至85%，竣工验收付至货款95%，5%质保2年。
