上海建工一建集团有限公司安装工程公司,,,,,,,,,,,,,,,,
母线报价清单,,,,,,,,,,,,,,,,
序号,名称,母线类型,规格型号,铜牌厚度及开关型号,接地方式,防护等级,外壳材质,品牌,系列,单位,数量,不含税单价（元）,税率,含税单价（元）,含税合价（元）,备注
1,密集母线槽,三相五线制,密集母线槽 LS-630A/5P,五线铜排：4*（4*45）+1*（2*45）,,IP54,,,,米,,,,,0,
2,密集母线槽,,密集母线槽 LS-800A/5P,全部由厂家提供,,,,,,米,,,,,0,
3,密集母线槽,,密集母线槽 LS-1000A/5P,,,,,,,米,,,,,0,
4,密集母线槽,,密集母线槽 LS-1600A/5P,,,,,,,米,,,,,0,
5,密集母线槽,,密集母线槽 LS-2000A/5P,,,,,,,米,,,,,0,
6,密集母线槽,,密集母线槽 LS-2500A/5P,,,,,,,米,,,,,,
7,密集母线槽,三相五线制,密集母线槽 LS-630A/5P,五线铜排：4*（4*45）+1*（2*45）,,IP68,,,,米,,,,,,
8,密集母线槽,,密集母线槽 LS-800A/5P,,,,,,,米,,,,,,
9,密集母线槽,,密集母线槽 LS-1000A/5P,,,,,,,米,,,,,,
10,密集母线槽,,密集母线槽 LS-1600A/5P,,,,,,,米,,,,,,
11,密集母线槽,,密集母线槽 LS-2000A/5P,,,,,,,米,,,,,,
12,密集母线槽,,密集母线槽 LS-2500A/5P,,,,,,,米,,,,,,
13,密集母线槽,三相四线制,密集母线槽 LS-630A/5P,四线铜排：4*（4*45）+1*（2*45）,,IP54,,,,米,,,,,,
14,密集母线槽,,密集母线槽 LS-800A/5P,,,,,,,米,,,,,,
15,密集母线槽,,密集母线槽 LS-1000A/5P,,,,,,,米,,,,,,
16,密集母线槽,,密集母线槽 LS-1600A/5P,,,,,,,米,,,,,,
17,密集母线槽,,密集母线槽 LS-2000A/5P,,,,,,,米,,,,,,
18,密集母线槽,,密集母线槽 LS-2500A/5P,,,,,,,米,,,,,,
19,密集母线槽,三相四线制,密集母线槽 LS-630A/5P,四线铜排：4*（4*45）+1*（2*45）,,IP68,,,,米,,,,,,
20,密集母线槽,,密集母线槽 LS-800A/5P,,,,,,,米,,,,,,
21,密集母线槽,,密集母线槽 LS-1000A/5P,,,,,,,米,,,,,,
22,密集母线槽,,密集母线槽 LS-1600A/5P,,,,,,,,,,,,,
23,密集母线槽,,密集母线槽 LS-2000A/5P,,,,,,,,,,,,,
24,密集母线槽,,密集母线槽 LS-2500A/5P,,,,,,,,,,,,,
25,密集母线槽,三相五线制,密集母线槽 LS-630A/5P,四线铜排+接地铝排：4*（4*45）+1*（2*45）,,IP54,,,,,,,,,,
26,密集母线槽,,密集母线槽 LS-800A/5P,,,,,,,,,,,,,
27,密集母线槽,,密集母线槽 LS-1000A/5P,,,,,,,,,,,,,
28,密集母线槽,,密集母线槽 LS-1600A/5P,,,,,,,,,,,,,
29,密集母线槽,,密集母线槽 LS-2000A/5P,,,,,,,,,,,,,
30,密集母线槽,,密集母线槽 LS-2500A/5P,,,,,,,,,,,,,
31,密集母线槽,三相五线制,密集母线槽 LS-630A/5P,四线铜排+接地铝排：4*（4*45）+1*（2*45）,,IP68,,,,,,,,,,
32,密集母线槽,,密集母线槽 LS-800A/5P,,,,,,,,,,,,,
33,密集母线槽,,密集母线槽 LS-1000A/5P,,,,,,,,,,,,,
34,密集母线槽,,密集母线槽 LS-1600A/5P,,,,,,,,,,,,,
35,密集母线槽,,密集母线槽 LS-2000A/5P,,,,,,,,,,,,,
36,密集母线槽,,密集母线槽 LS-2500A/5P,,,,,,,,,,,,,
37,母线插接箱,三相五线制,125A,XT5N400 TMA300 FF 3P+SOR+AUX,,,,,,台,,,,,0,
38,母线插接箱,,125A,,,,,,,台,,,,,0,
39,始端箱,,800A,,,,,,,台,,,,,0,
40,连接器,,LS-630A/5P,,,,,,,个,,,,,,
41,连接器,,LS-800A/5P,,,,,,,个,,,,,,
42,连接器,,LS-1600A/5P,,,,,,,个,,,,,,
合计,,,,,,,,,,,,,,,0,
说明：,,,,,,,,,,,,,,,,
1、,报母线槽系统执行标准：   GB       ；,,,,,,,,,,,,,,,
2、,"此报价基于参考电解铜价：RMB 元/吨；
如电解铜涨跌，则报价按照涨幅比例的 %浮动。价格调整公式：   实际铜价指：
“价格调整系数”用于计算调整直线段、连接器、软连接及连接铜排之价格。",,,,,,,,,,,,,,,
4、,此报价母线槽产品防护等级：IP  绝缘等级：,,,,,,,,,,,,,,,
5、,报价包含运费、测量服务费.如需安装，安装费：元（包含工作内容：）。,,,,,,,,,,,,,,,
6、,最终数量以现场测量或实际订货数量为准，按实结算。弯头和始端按照直线段：计入母线延长米，三通和伸缩节按照直线段：计入母线延长米。,,,,,,,,,,,,,,,
7、,接地形式：1/2铜牌接地，铝排接地，外壳接地,,,,,,,,,,,,,,,
8、,始端箱，终端箱的报价包含联络母排制作安装费用。,,,,,,,,,,,,,,,
9、,其他：,,,,,,,,,,,,,,,
