序号,名称,母线类型,规格型号,铜牌厚度及开关型号,接地方式,防护等级,外壳材质,品牌,系列,单位,数量,不含税单价（元）,税率,含税单价（元）,含税合价（元）,备注
1,三相五线密集型母线槽,三相五线制,2000A,,,IP54,,江苏国茂,,m,381,2207.9646017699115,0.13,2495,950595,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
2,三相五线密集型母线槽,三相五线制,1600A,,,IP54,,江苏国茂,,m,529,1785.840707964602,0.13,2018,1067522,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
3,三相五线密集型母线槽,三相五线制,1250A,,,IP54,,江苏国茂,,m,437,1293.8053097345135,0.13,1462,638894,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
4,三相五线密集型母线槽,三相五线制,1000A,,,IP54,,江苏国茂,,m,484,1031.8584070796462,0.13,1166,564344,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
5,三相五线密集型母线槽,三相五线制,800A,,,IP54,,江苏国茂,,m,112,830.0884955752214,0.13,938,105056,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
6,三相四线密集型母线槽,三相四线制,2000A,,,IP54,,江苏国茂,,m,351,1780.5309734513276,0.13,2012,706212,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
7,三相四线密集型母线槽,三相四线制,1600A,,,IP54,,江苏国茂,,m,499,1426.991150442478,0.13,1612.5,804637.5,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
8,三相四线密集型母线槽,三相四线制,1250A,,,IP54,,江苏国茂,,m,407,1035.3982300884957,0.13,1170,476190,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
9,三相四线密集型母线槽,三相四线制,1000A,,,IP54,,江苏国茂,,m,454,822.1238938053098,0.13,929,421766,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
10,三相四线密集型母线槽,三相四线制,800A,,,IP54,,江苏国茂,,m,82,659.2920353982302,0.13,745,61090,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
11,三相五线密集型耐火母线槽,三相五线制,2000A,,,IP54,,江苏国茂,,m,351,2231.8584070796464,0.13,2522,885222,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
12,三相五线密集型耐火母线槽,三相五线制,1600A,,,IP54,,江苏国茂,,m,499,1809.7345132743365,0.13,2045,1020455,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
13,三相五线密集型耐火母线槽,三相五线制,1250A,,,IP54,,江苏国茂,,m,407,1314.1592920353983,0.13,1485,604395,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
14,三相五线密集型耐火母线槽,三相五线制,1000A,,,IP54,,江苏国茂,,m,454,1053.0973451327434,0.13,1190,540260,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
15,三相五线密集型耐火母线槽,三相五线制,800A,,,IP54,,江苏国茂,,m,82,846.9026548672567,0.13,957,78474,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
16,三相四线密集型耐火母线槽,三相四线制,2000A,,,IP54,,江苏国茂,,m,351,1802.6548672566373,0.13,2037,714987,2025.4.28；电解铜价75000元/吨，母线伸缩节、母线进线节、母线连接器、母线软铜排需按照直线段延长米计算，以上内容含在直线段内，不予单独计量，无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收后付至送货金额80%，结算且档案验收后付至结算金额95%，5%质保2年，接受12个月信用证形式支付
