序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备        注
1,B1柴发集水井潜污泵,50WQ11103,20,18,2840,2.2,2,0.13,1650,3300,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,190,380,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,60,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
2,B1备用机房集水井排水泵,50WQ11101,10,18,2840,1.5,1,0.13,1520,1520,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,1,0.13,400,400,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,1,0.13,190,190,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,1,0.13,60,60,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,1,0.13,70,70,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
3,B1锅炉房集水井排水泵,50WQ11123,25,15,2840,2.2,3,0.13,1650,4950,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,3,0.13,400,1200,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,3,0.13,190,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,3,0.13,60,180,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,3,0.13,70,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
4,B1锅炉水泵房集水井排水泵,50WQ11103,20,18,2840,2.2,2,0.13,1650,3300,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,190,380,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,60,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
5,B1消防泵集水井排水泵,50WQ11123,25,15,2840,2.2,3,0.13,1650,4950,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,3,0.13,400,1200,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,3,0.13,190,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,3,0.13,60,180,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,3,0.13,70,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
6,B1报警阀间集水井排污泵,50WQ11101,10,18,2840,1.5,2,0.13,1520,3040,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,190,380,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,60,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
7,B1坡道集水井排水泵,80WQ11163,65,15,2840,4,3,0.13,2420,7260,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK80,0,0,0,0,3,0.13,620,1860,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,3,0.13,190,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,3,0.13,60,180,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,3,0.13,70,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
8,B1报警阀间集水井排水泵,50WQ11101,10,18,2840,1.5,2,0.13,1520,3040,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,190,380,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,60,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
9,B1电站集水井排水泵,50WQ11101,10,18,2840,1.5,1,0.13,1520,1520,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,1,0.13,400,400,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,1,0.13,190,190,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,1,0.13,60,60,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,1,0.13,70,70,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
10,B1非机动车坡道集水井排水泵,50WQ11103,20,20,2840,2.2,2,0.13,1650,3300,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,300,600,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,105,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
11,B1制冷机房集水井排水泵,50WQ11123,25,15,2840,2.2,3,0.13,1650,4950,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,3,0.13,400,1200,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,3,0.13,190,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,3,0.13,60,180,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,3,0.13,70,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
12,B1隔油间集水井排水泵,50WQ11101,10,18,2840,1.5,2,0.13,1520,3040,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,190,380,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,60,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
13,B1卸货区集水井排水泵,50WQ11072,15,20,2840,2.2,2,0.13,1650,3300,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,190,380,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,60,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
14,B1坡道集水井排水泵,50WQ11152,40,15,2840,3,3,0.13,2005,6015,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,3,0.13,400,1200,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,3,0.13,190,570,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,3,0.13,60,180,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,3,0.13,70,210,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
15,B1垃圾房集水井排水泵,50WQ11072,15,20,2840,2.2,2,0.13,1650,3300,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK50,0,0,0,0,2,0.13,400,800,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,导杆,32*1.2,0,0,0,0,2,0.13,190,380,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,链条,6mm,0,0,0,0,2,0.13,60,120,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,浮球,/,0,0,0,0,2,0.13,70,140,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
16,B1下沉广场集水井排水泵,80WQ11152,80,20,2840,7.5,3,0.13,3780,11340,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
0,自耦,GAK80,0,0,0,0,3,0.13,620,1860,东方,2025.7.15，货到现场1个月付至到货金额95%，供货完成提供5%两年银行质保函
