设备名称,型号规格,流量(m3/h),扬程(m),转速（r/min）,功率   (kW),材质,,,,,,,,,,,,,配套零件品牌,,,数量（台）        ,税率,单价（元）,总 价（元）,品牌,备   注
,,,,,,泵体,泵盖,叶轮,泵轴,机封,叶轮螺母,轴套,水泵底座,联轴器,泵体密封环,密封压盖,电机防护等级,电机能效,轴承,电机,机封,,,,,,
卧式单级双吸离心泵,SCH200/320-55/4,509,29,1450,55,铸铁,铸铁,SS304,不锈钢,碳化硅-石墨,不锈钢,无,碳钢,碳钢,青铜,不锈钢,IP55/F,GB2,NSK,WILO,WILO,5,0.13,43461,217305,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
卧式单级双吸离心泵,SCH200/320-55/4,590,23,1450,55,铸铁,铸铁,SS304,不锈钢,碳化硅-石墨,不锈钢,无,碳钢,碳钢,青铜,不锈钢,IP55/F,GB2,NSK,WILO,WILO,5,0.13,43461,217305,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
卧式单级离心泵,N 125/250-18.5/4,253,20,1450,18.5,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,碳钢,碳钢,无,不锈钢,IP55/F,GB2,NSK,WILO,WILO,4,0.13,17674,70696,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
卧式单级离心泵,N 80/200-5.5/4,90,15,1450,5.5,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,碳钢,碳钢,无,不锈钢,IP55/F,GB2,NSK,WILO,WILO,3,0.13,12119,36357,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
空调供暖循环水泵,I 125/315-30/4,220,30,1450,30,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,无,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,2,0.13,30731,61462,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
空调供暖循环水泵,I 125/315-30/4,220,30,1450,30,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,无,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,2,0.13,30731,61462,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
空调供暖循环水泵,I 100/295-15/4,100,30,1450,15,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,无,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,2,0.13,20094,40188,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
空调供暖循环水泵,I 100/295-15/4,100,30,1450,15,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,无,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,2,0.13,20094,40188,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
空调供暖循环水泵,I 125/295-18.5/4,200,25,1450,18.5,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,无,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,2,0.13,24502,49004,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
