设备名称,型号规格,流量(m3/h),扬程(m),转速（r/min）,功率   (kW),材质,,,,,,,,,,,,,配套零件品牌,,,数量（台）        ,税率,单价（元）,总 价（元）,品牌,备   注
,,,,,,泵体,泵盖,叶轮,泵轴,机封,叶轮螺母,轴套,水泵底座,联轴器,泵体密封环,密封压盖,电机防护等级,电机能效,轴承,电机,机封,,,,,,
卧式单级双吸离心泵,"e-HSD 8x10x14
卧式双吸泵 承压1.6Mpa",600,30,1450,75,铸铁,铸铁,不锈钢,不锈钢,碳化硅和石墨,不锈钢,不锈钢,铸铁,碳钢,丁腈橡胶,铸铁,IP55,IE3,SKF,ABB,约翰克兰,4,0.13,59269,237076,赛莱默,2025.7.7，货到现场合格后2月付至到货金额70%，竣工验收付至80%，结算付至97%，3%质保2年
卧式单级离心泵,"e1610 5D
卧式端吸泵 承压1.6Mpa",302,30,1450,37,铸铁,铸铁,不锈钢,不锈钢,碳化硅和石墨,不锈钢,不锈钢,铸铁,碳钢,丁腈橡胶,铸铁,IP55,IE3,SKF,ABB,约翰克兰,2,0.13,25902,51804,赛莱默,2025.7.7，货到现场合格后2月付至到货金额70%，竣工验收付至80%，结算付至97%，3%质保2年
卧式单级离心泵,"e1610 6D
卧式端吸泵 承压1.6Mpa",378,30,1450,45,铸铁,铸铁,不锈钢,不锈钢,碳化硅和石墨,不锈钢,不锈钢,铸铁,碳钢,丁腈橡胶,铸铁,IP55,IE3,SKF,ABB,约翰克兰,2,0.13,32760,65520,赛莱默,2025.7.7，货到现场合格后2月付至到货金额70%，竣工验收付至80%，结算付至97%，3%质保2年
卧式单级离心泵,"e1610 6DZ
卧式端吸泵 承压1.6Mpa",424,37,1450,55,铸铁,铸铁,不锈钢,不锈钢,碳化硅和石墨,不锈钢,不锈钢,铸铁,碳钢,丁腈橡胶,铸铁,IP55,IE3,SKF,ABB,约翰克兰,4,0.13,38334,153336,赛莱默,2025.7.7，货到现场合格后2月付至到货金额70%，竣工验收付至80%，结算付至97%，3%质保2年
卧式单级离心泵,"e1610 4DZ
卧式端吸泵 承压1.6Mpa",212,37,1450,30,铸铁,铸铁,不锈钢,不锈钢,碳化硅和石墨,不锈钢,不锈钢,铸铁,碳钢,丁腈橡胶,铸铁,IP55,IE3,SKF,ABB,约翰克兰,2,0.13,23446,46892,赛莱默,2025.7.7，货到现场合格后2月付至到货金额70%，竣工验收付至80%，结算付至97%，3%质保2年
卧式单级离心泵,"e1610 5EZ
卧式端吸泵 承压1.6Mpa",265,37,1450,45,铸铁,铸铁,不锈钢,不锈钢,碳化硅和石墨,不锈钢,不锈钢,铸铁,碳钢,丁腈橡胶,铸铁,IP55,IE3,SKF,ABB,约翰克兰,2,0.13,32183,64366,赛莱默,2025.7.7，货到现场合格后2月付至到货金额70%，竣工验收付至80%，结算付至97%，3%质保2年
卧式单级离心泵,"e1610 4D
卧式端吸泵 承压1.6Mpa",190,29,1450,22,铸铁,铸铁,不锈钢,不锈钢,碳化硅和石墨,不锈钢,不锈钢,铸铁,碳钢,丁腈橡胶,铸铁,IP55,IE3,SKF,ABB,约翰克兰,3,0.13,20696,62088,赛莱默,2025.7.7，货到现场合格后2月付至到货金额70%，竣工验收付至80%，结算付至97%，3%质保2年
卧式端吸泵,ETB 125-100-315 ,208,31,1450,30,铸铁,260号铸铁,不锈钢,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,槽钢底座,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,5,20353.982300885,23000,115000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
卧式端吸泵,ETB 125-100-315 ,152,31,1450,18.5,铸铁,260号铸铁,不锈钢,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,槽钢底座,铸铁,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,4,18584.0707964602,21000,84000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
卧式端吸泵,ETB 125-100-315 ,210,29,1450,30,铸铁,260号铸铁,不锈钢,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,槽钢底座,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,3,23008.8495575221,26000,78000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
卧式端吸泵,ETB 080-065-315 ,52,24.6,1450,5.5,铸铁,260号铸铁,不锈钢,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,槽钢底座,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,3,13274.3362831858,15000,45000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
卧式端吸泵,ETB 200-150-400 ,444,43,1450,75,铸铁,260号铸铁,不锈钢,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,槽钢底座,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,3,39823.0088495575,45000,135000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
