箱体报价表,,,,,,,
外型尺寸W*H*D,背板厚度,箱门厚度及层数,侧板厚度,表面处理,单价,备注（室内室外型、IP等级）,
500*600*200,1.5mm,1.5mm,1.5mm,喷塑,198,室内,
600*800*200,1.5mm,1.5mm,1.5mm,喷塑,295,室内,
600*1000*200,1.5mm,1.5mm,1.5mm,喷塑,360,室内,
600*1200*200,1.5mm,1.5mm,1.5mm,喷塑,425,室内,
700*1100*250,1.5mm,1.5mm,1.5mm,喷塑,474,室内,
700*1000*250,1.5mm,1.5mm,1.5mm,喷塑,479,室内,
700*1200*200,1.5mm,1.5mm,1.5mm,喷塑,485,室内,
700*1200*250,1.5mm,1.5mm,1.5mm,喷塑,513,室内,
800*1200*200,1.5mm,1.5mm,1.5mm,喷塑,544,室内,
600*1200*600,1.5mm,1.5mm,1.5mm,喷塑,638,室内,
600*1600*400,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,765,室内,
600*1800*400,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,850,室内,
700*1800*400,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,952,室内,
800*1800*400,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,1055,室内,
800*2000*400,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,1160,室内,
800*2200*400,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,1265,室内,
1000*2000*400,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,1384,室内,
1000*2200*400,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,1509,室内,
300*400*200,1.5mm,1.5mm,1.5mm,喷塑,345,IP65,
500*600*200,1.5mm,1.5mm,1.5mm,喷塑,745,IP65,
600*800*200,1.5mm,1.5mm,1.5mm,喷塑,1127,IP65,
600*1000*200,1.5mm,1.5mm,1.5mm,喷塑,1382,IP54,
700*1100*250,1.5mm,1.5mm,1.5mm,喷塑,1809,户外 IP65,
700*1200*200,1.5mm,1.5mm,1.5mm,喷塑,1959,IP55,
600*1600*400,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,2545,IP65,
600*1600*400,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,2545,户外 IP54,
800*1800*400 IP65,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,3564,IP65,
800*2200*600 IP65,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,4836,IP65,
1400*2200*400 IP65,1.5mm,"门板2.0mm,其它1.5mm",1.5mm,喷塑,7606,IP65,
,,,,,,,
,,,,,,,
配电箱元器件面价及折扣,,,,,,,
序号,元件名称  ,型号规格,单位,数量,面价,折扣,品牌
1,隔离开关,iINT-S 32A 3P,73,只,157.45,0.45,施耐德
2,隔离开关,iINT-S 40A 3P,3,只,201.09,0.45,施耐德
3,隔离开关,iINT-S 63A 2P,12,只,159.34,0.45,施耐德
4,隔离开关,WG160/100/3,4,只,429,0.55,施耐德
5,隔离开关,WG80/40/3,34,只,220,0.55,施耐德
6,隔离开关,WG800/800/3,2,只,2703,0.55,施耐德
7,交流接触器,iCT 2P 16A 2NO AC230-240V,61,只,312.47,0.48,施耐德
8,交流接触器,iCT 2P 25A 2NO AC230-240V,8,只,312.91,0.48,施耐德
9,交流接触器,iCT 4P 25A 4NO AC220-240V,138,只,361.79,0.48,施耐德
10,交流接触器,LC1D09M7C,61,只,81.98,0.62,施耐德
11,交流接触器,LC1D11500M7C,6,只,994.73,0.62,施耐德
12,交流接触器,LC1D12M7C,4,只,88.91,0.62,施耐德
13,交流接触器,LC1D15000M7C,12,只,1040.92,0.62,施耐德
14,交流接触器,LC1D18M7C,51,只,112.5,0.62,施耐德
15,交流接触器,LC1D25M7C,7,只,132.55,0.62,施耐德
16,交流接触器,LC1D32M7C,2,只,179.64,0.62,施耐德
17,交流接触器,LC1D38M7C,10,只,202.32,0.62,施耐德
18,交流接触器,LC1D40AM7C,4,只,233.31,0.62,施耐德
19,交流接触器,LC1D50AM7C,7,只,320.39,0.62,施耐德
20,交流接触器,LC1D80M7C,10,只,508.36,0.62,施耐德
21,热继电器,LRD06C 1-1.6A,47,只,188.99,0.62,施耐德
22,热继电器,LRD08C 2.5-4A,22,只,188.99,0.62,施耐德
23,热继电器,LRD10C 4-6A,10,只,188.99,0.62,施耐德
24,热继电器,LRD12C 5.5-8A,38,只,188.99,0.62,施耐德
25,热继电器,LRD14C 7-10A,8,只,188.99,0.62,施耐德
26,热继电器,LRD16C 9-13A,8,只,188.99,0.62,施耐德
27,热继电器,LRD21C 12-18A,2,只,123.8,0.62,施耐德
28,热继电器,LRD22C 16-24A,4,只,123.8,0.62,施耐德
29,热继电器,LRD32C 23-32A,2,只,130.8,0.62,施耐德
30,热继电器,LRD340C 30-40A,4,只,213.29,0.62,施耐德
31,热继电器,LRD350C 37-50A,4,只,213.29,0.62,施耐德
