1-1,柜号：2ZXF、2BXF,型号：,,,,名称：,,
序号,元件名称,型号规格,单位,数量,单   价,总   价,品牌,备注
1,壳体,800*2000*500,只,1,1140,1140,江苏苏电,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
2,消防电源监控,PXPM V,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
3,隔离开关,3KD3-250A-3P-灰色手柄,只,1,537.19,537.19,西门子,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
4,浪涌保护器+后备保护器,OVRF2 4L 80-350+SJ204-C63,套,1,1108.72,1108.72,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
5,消防电源监控,PXPM L,只,1,0,0,甲供,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
6,电流互感器,BH-0.66Ⅱ 250/5 Φ30 0.5级 1匝,只,6,29.775,178.65,国产优质,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
7,多功能表,AMC72L-KCF,只,1,350,350,安科瑞,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
8,塑壳断路器,D1C 125 MF25/384 F F 3P,只,3,230.37,691.11,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
9,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,2,216.25,432.5,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
10,塑壳断路器,D1C 125 TMF80/800 F F 3P,只,2,216.25,432.5,ABB,2025.6.6；无预付款，货到现场验收合格2月后付至送货金额70%，竣工验收合格后付至送货金额80%，结算完成并移交档案资料且通过，付至结算金额95%，5%质保四年，以上付款接受信用证、区块链等方式支付。
