序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,,球阀,焊接全通径球阀DN1000,,,,,,,,个,4,92323.76,369295.04,0.13,48008.3552,417303.39519999997,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
2,,球阀,焊接全通径球阀DN700,,,,,,,,个,4,37754.59,151018.36,0.13,19632.3868,170650.7468,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
3,,球阀,丝扣铜球阀DN50,,,,,,,,个,13,155.3,2018.9,0.13,262.457,2281.357,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
4,,电动开关球阀,电动开关型焊接全通径球阀DN1000,,,,,,,,个,2,97401.34,194802.68,0.13,25324.3484,220127.02839999998,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
5,,电动开关球阀,电动开关型焊接全通径球阀DN600,,,,,,,,个,6,24209.11,145254.66,0.13,18883.1058,164137.7658,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
6,,电动开关球阀,电动开关型焊接全通径球阀DN450,,,,,,,,个,5,20535.06,102675.3,0.13,13347.789,116023.089,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
7,,电动开关球阀,电动开关型焊接全通径球阀DN400,,,,,,,,个,22,15335.51,337381.22000000003,0.13,43859.558600000004,381240.7786,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
8,,蝶阀,法兰三偏心双向硬密封蝶阀DN600,,,,,,,,个,1,9012.35,9012.35,0.13,1171.6055000000001,10183.9555,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
9,,蝶阀,法兰三偏心双向硬密封蝶阀DN450,,,,,,,,个,8,5251.87,42014.96,0.13,5461.9448,47476.9048,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
10,,蝶阀,法兰三偏心双向硬密封蝶阀DN400,,,,,,,,个,6,4388.2,26329.199999999997,0.13,3422.796,29751.995999999996,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
11,,蝶阀,法兰三偏心双向硬密封蝶阀DN200,,,,,,,,个,1,1222.01,1222.01,0.13,158.8613,1380.8713,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
12,,蝶阀,法兰三偏心双向硬密封蝶阀DN150,,,,,,,,个,1,845.96,845.96,0.13,109.9748,955.9348,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
13,,蝶阀,法兰三偏心双向硬密封蝶阀DN100,,,,,,,,个,2,528.71,1057.42,0.13,137.46460000000002,1194.8846,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
14,,金属软接,法兰金属软接头DN450,,,,,,,,个,8,2527.21,20217.68,0.13,2628.2984,22845.9784,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
15,,金属软接,法兰金属软接头DN400,,,,,,,,个,8,2004.12,16032.96,0.13,2084.2848,18117.2448,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
16,,Y型过滤器,铸钢Y型过滤器DN450,,,,,,,,个,4,4740.99,18963.96,0.13,2465.3148,21429.2748,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
17,,Y型过滤器,铸钢Y型过滤器DN400,,,,,,,,个,4,3707.03,14828.12,0.13,1927.6556000000003,16755.7756,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
18,,止回阀,铸钢消声止回阀DN700,,,,,,,,个,1,9151.29,9151.29,0.13,1189.6677000000002,10340.9577,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
19,,止回阀,铸钢消声止回阀DN450,,,,,,,,个,2,4400.41,8800.82,0.13,1144.1066,9944.926599999999,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
20,,止回阀,铸钢消声止回阀DN400,,,,,,,,个,8,3252.92,26023.36,0.13,3383.0368000000003,29406.396800000002,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
21,,远传水表,DN200,,,,,,,,组,1,1358.53,1358.53,0.13,176.6089,1535.1389,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
22,,倒流防止器,铸钢倒流防止器DN200,,,,,,,,套,1,1996.8,1996.8,0.13,259.584,2256.384,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
23,,自动排气阀,黄铜DN20,,,,,,,,个,8,53.73,429.84,0.13,55.8792,485.7192,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
24,,温度计,精度等级1.5级，量程范围0-60℃,,,,,,,,支,15,86.51,1297.65,0.13,168.6945,1466.3445000000002,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
25,,压力表,精度等级1.6级，量程范围0-0.6Mpa,,,,,,,,台,35,100.72,3525.2,0.13,458.276,3983.4759999999997,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
26,,球阀,焊接全通径球阀DN600,,,,,,,,个,4,19651.01,78604.04,0.13,10218.5252,88822.5652,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
27,,球阀,焊接全通径球阀DN200,,,,,,,,个,2,2158.6,4317.2,0.13,561.236,4878.436,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
28,,球阀,丝扣铜球阀DN50,,,,,,,,个,26,155.3,4037.8,0.13,524.914,4562.714,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
29,,电动开关蝶阀,电动开关型三偏心双向硬密封蝶阀DN200,,,,,,,,个,2,3518.11,7036.22,0.13,914.7086,7950.9286,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
30,,电动开关球阀,电动开关型焊接全通径球阀DN600,,,,,,,,个,6,24209.11,145254.66,0.13,18883.1058,164137.7658,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
31,,电动开关球阀,电动开关型焊接全通径球阀DN450,,,,,,,,个,5,20535.06,102675.3,0.13,13347.789,116023.089,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
32,,电动开关球阀,电动开关型焊接全通径球阀DN400,,,,,,,,个,22,15335.51,337381.22000000003,0.13,43859.558600000004,381240.7786,上海高中压,"2025.12.8；1、货到二个月内支付75%；
2、竣工支付至80%；
3、工程移交物业后支付至85%；
4、工程结算审计后支付至97%；
5、质保期结束后支付至100%。"
