序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,,电动双位蝶阀,DN700,VF3481QA-C+VA5350BDCF2-C DN700,"PN16法兰连接, 球铁+尼龙11涂层蝶板, 10bar工作压差",,,,,,组,2,38014.1592920354,76028.3185840708,0.13,9883.681415929204,85912,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
2,,电动双位蝶阀,DN400,VF3481LA-C+VA5100BDCD1-C DN400,"PN16法兰连接, 球铁+尼龙11涂层蝶板, 16bar工作压差",,,,,,组,2,10601.769911504425,21203.53982300885,0.13,2756.4601769911505,23960,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
3,,电动双位蝶阀,DN350,VF3481KA-C+VA5080BDCD2-C DN350,"PN16法兰连接, 球铁+尼龙11涂层蝶板, 16bar工作压差",,,,,,组,8,7273.451327433629,58187.61061946903,0.13,7564.389380530974,65752,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
4,,电动双位蝶阀,DN300,VF3481JA-C+VA5060BDCC1-C DN300,"PN16法兰连接, 球铁+尼龙11涂层蝶板, 16bar工作压差",,,,,,组,8,5035.398230088496,40283.18584070797,0.13,5236.8141592920365,45520.00000000001,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
5,,电动双位蝶阀,DN250,VF3481HA-C+VA5040BDCC2-C DN250,"PN16法兰连接, 球铁+尼龙11涂层蝶板, 16bar工作压差",,,,,,组,7,4225.66371681416,29579.646017699117,0.13,3845.3539823008855,33425,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
6,,电动双位蝶阀,DN200,VF6461GA-C + VA203BDC-C DN200,"PN16, 铸铁阀体, 不锈钢阀杆；220VAC, 开关信号, 辅助开关信号",,,,,,组,4,2991.1504424778764,11964.601769911505,0.13,1555.3982300884957,13520.000000000002,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
7,,电动双位蝶阀,DN150,VF6461FA-C + VA203BDCN-C DN150,"PN16, 铸铁阀体, 不锈钢阀杆；220VAC, 开关信号, 辅助开关信号",,,,,,组,4,2659.2920353982304,10637.168141592922,0.13,1382.8318584070798,12020.000000000002,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
8,,电动双位蝶阀,DN125,VF6461EA-C + VA202BDCN-C DN125,"PN16, 铸铁阀体, 不锈钢阀杆；220VAC, 开关信号, 辅助开关信号",,,,,,组,1,2077.8761061946902,2077.8761061946902,0.13,270.12389380530976,2348,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
9,,电动双位蝶阀,DN100,VF6461DA-C + VA201BDCN-C DN100,"PN16, 铸铁阀体, 不锈钢阀杆；220VAC, 开关信号, 辅助开关信号",,,,,,组,1,1205.3097345132744,1205.3097345132744,0.13,156.69026548672568,1362,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
10,,电动双位蝶阀,DN80,VF6461CA-C + VA201BDC-C DN80,"PN16, 铸铁阀体, 不锈钢阀杆；220VAC, 开关信号, 辅助开关信号",,,,,,组,34,1163.7168141592922,39566.371681415934,0.13,5143.628318584072,44710.00000000001,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
11,,电动双位蝶阀,DN65,VF6461BA-C + VA201BDC-C DN65,"PN16, 铸铁阀体, 不锈钢阀杆；220VAC, 开关信号, 辅助开关信号",,,,,,组,1,1122.1238938053098,1122.1238938053098,0.13,145.87610619469027,1268,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
12,,电动双位蝶阀,DN50,VF6461AA-C + VA201BDC-C DN50,"PN16, 铸铁阀体, 不锈钢阀杆；220VAC, 开关信号, 辅助开关信号",,,,,,组,1,1080.5309734513276,1080.5309734513276,0.13,140.4690265486726,1221.0000000000002,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
13,,电动调节蝶阀,DN150,VG12F5LX-C + VA9335-HGA-3 DN150,"KV390, 球墨铸铁阀体, 不锈钢阀芯, 法兰连接, 120℃, PN16;24VAC/DC,35Nm, 通用型控制, IP54",,,,,,组,8,3240.70796460177,25925.66371681416,0.13,3370.336283185841,29296,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
14,,电动调节蝶阀,DN125,VG12F5KW-C + VA9335-HGA-3 DN125,"KV270, 球墨铸铁阀体, 不锈钢阀芯, 法兰连接, 120℃, PN16;24VAC/DC, 35Nm, 通用型控制, IP54",,,,,,组,25,2576.1061946902655,64402.654867256635,0.13,8372.345132743363,72775,江森,无预付款，货到现场验收合格2月付至送货金额70%，验收合格后付至80%，结算完成付至结算金额95%，5%质保两年
