序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,空调水,法兰蝶阀,DN450,BZGE法兰式蜗轮型中线蝶阀,,,,,,,个,3,5620.353982300885,16861.061946902657,0.13,2191.9380530973453,19053.000000000004,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
2,空调水,法兰蝶阀,DN350,BZGE法兰式蜗轮型中线蝶阀,,,,,,,个,7,3496.4601769911505,24475.221238938055,0.13,3181.778761061947,27657,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
3,空调水,对夹式蜗轮蝶阀,DN300,BWGE对夹式蜗轮型中线蝶阀,,,,,,,个,20,1293.8053097345135,25876.10619469027,0.13,3363.8938053097354,29240.000000000007,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
4,空调水,对夹式蜗轮蝶阀,DN250,BWGE对夹式蜗轮型中线蝶阀,,,,,,,个,41,1007.9646017699116,41326.54867256638,0.13,5372.45132743363,46699.00000000001,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
5,空调水,对夹式蜗轮蝶阀,DN200,BWGE对夹式蜗轮型中线蝶阀,,,,,,,个,121,736.283185840708,89090.26548672566,0.13,11581.734513274338,100672,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
6,空调水,对夹式蜗轮蝶阀,DN150,BWLE对夹式把手型中线蝶阀,,,,,,,个,40,313.27433628318585,12530.973451327434,0.13,1629.0265486725666,14160,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
7,空调水,对夹式蜗轮蝶阀,DN125,BWLE对夹式把手型中线蝶阀,,,,,,,个,76,262.83185840707966,19975.221238938055,0.13,2596.778761061947,22572,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
8,空调水,对夹式蜗轮蝶阀,DN100,BWLE对夹式把手型中线蝶阀,,,,,,,个,68,202.65486725663717,13780.530973451328,0.13,1791.4690265486727,15572.000000000002,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
9,空调水,对夹式蜗轮蝶阀,DN80,BWLE对夹式把手型中线蝶阀,,,,,,,个,290,152.212389380531,44141.592920353985,0.13,5738.407079646018,49880,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
10,空调水,对夹式蜗轮蝶阀,DN65,BWLE对夹式把手型中线蝶阀,,,,,,,个,284,134.5132743362832,38201.76991150442,0.13,4966.230088495575,43168,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
11,空调水,铜丝扣高杆球阀,DN50,BABV丝口型铜质球阀,,,,,,,个,240,167.25663716814162,40141.59292035399,0.13,5218.407079646019,45360.000000000015,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
12,空调水,铜丝扣高杆球阀,DN40,BABV丝口型铜质球阀,,,,,,,个,26,109.7345132743363,2853.0973451327436,0.13,370.9026548672567,3224.0000000000005,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
13,空调水,铜丝扣高杆球阀,DN32,BABV丝口型铜质球阀,,,,,,,个,68,68.14159292035399,4633.628318584071,0.13,602.3716814159293,5236,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
14,空调水,铜丝扣高杆球阀,DN25,BABV丝口型铜质球阀,,,,,,,个,700,46.01769911504425,32212.389380530978,0.13,4187.610619469027,36400.00000000001,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
15,空调水,铜丝扣高杆球阀,DN20,BABV丝口型铜质球阀,,,,,,,个,14,30.973451327433633,433.6283185840709,0.13,56.37168141592922,490.0000000000001,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
16,空调水,铜丝扣高杆球阀,DN15,BABV丝口型铜质球阀,,,,,,,个,2396,21.238938053097346,50888.49557522124,0.13,6615.504424778762,57504,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
17,空调水,法兰Y型过滤器,DN250,YSTFY型过滤器,,,,,,,个,10,2413.274336283186,24132.74336283186,0.13,3137.256637168142,27270.000000000004,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
18,空调水,法兰Y型过滤器,DN200,YSTFY型过滤器,,,,,,,个,24,1483.1858407079646,35596.46017699115,0.13,4627.53982300885,40224,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
19,空调水,法兰Y型过滤器,DN150,YSTFY型过滤器,,,,,,,个,8,866.3716814159293,6930.973451327434,0.13,901.0265486725665,7832.000000000001,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
20,空调水,法兰Y型过滤器,DN125,YSTFY型过滤器,,,,,,,个,23,661.0619469026549,15204.424778761062,0.13,1976.5752212389382,17181,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
21,空调水,法兰Y型过滤器,DN100,YSTFY型过滤器,,,,,,,个,19,460.1769911504425,8743.362831858409,0.13,1136.637168141593,9880.000000000002,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
22,空调水,法兰Y型过滤器,DN80,YSTFY型过滤器,,,,,,,个,53,342.47787610619474,18151.32743362832,0.13,2359.672566371682,20511.000000000004,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
23,空调水,法兰Y型过滤器,DN65,YSTFY型过滤器,,,,,,,个,55,278.76106194690266,15331.858407079646,0.13,1993.141592920354,17325,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
24,空调水,铜丝扣Y型过滤器,DN50,BAYS丝口型铜质Y型过滤器,,,,,,,个,10,135.39823008849558,1353.9823008849557,0.13,176.01769911504425,1530,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
25,空调水,铜丝扣Y型过滤器,DN40,BAYS丝口型铜质Y型过滤器,,,,,,,个,4,77.87610619469027,311.50442477876106,0.13,40.49557522123894,352,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
26,空调水,铜丝扣Y型过滤器,DN25,BAYS丝口型铜质Y型过滤器,,,,,,,个,150,40.707964601769916,6106.194690265487,0.13,793.8053097345133,6900.000000000001,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
27,空调水,铜丝扣Y型过滤器,DN20,BAYS丝口型铜质Y型过滤器,,,,,,,个,7,26.548672566371685,185.8407079646018,0.13,24.159292035398234,210.00000000000003,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
28,空调水,铜丝扣Y型过滤器,DN15,BAYS丝口型铜质Y型过滤器,,,,,,,个,1198,20.353982300884958,24384.07079646018,0.13,3169.9292035398234,27554.000000000004,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
29,空调水,法兰旋启式止回阀,DN250,CVSF橡胶板止回阀,,,,,,,个,4,3284.9557522123896,13139.823008849558,0.13,1708.1769911504427,14848.000000000002,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
30,空调水,法兰旋启式止回阀,DN200,CVSF橡胶板止回阀,,,,,,,个,12,2052.212389380531,24626.548672566372,0.13,3201.4513274336286,27828,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
31,空调水,法兰旋启式止回阀,DN125,CVSF橡胶板止回阀,,,,,,,个,16,933.6283185840709,14938.053097345135,0.13,1941.9469026548677,16880.000000000004,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
32,空调水,法兰旋启式止回阀,DN100,CVSF橡胶板止回阀,,,,,,,个,10,594.6902654867257,5946.902654867257,0.13,773.0973451327435,6720.000000000001,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
33,空调水,铜丝扣自动排气阀,DN25,AVAX自动排气阀,,,,,,,个,170,52.21238938053098,8876.106194690266,0.13,1153.8938053097347,10030.000000000002,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
34,空调水,法兰闸阀,DN150,RVHX非升杆手轮型弹性座封闸阀,,,,,,,个,6,892.0353982300886,5352.212389380532,0.13,695.7876106194692,6048.000000000001,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
35,空调水,法兰闸阀,DN100,RVHX非升杆手轮型弹性座封闸阀,,,,,,,个,6,523.0088495575221,3138.0530973451328,0.13,407.94690265486724,3546,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
36,空调水,法兰闸阀,DN80,RVHX非升杆手轮型弹性座封闸阀,,,,,,,个,10,483.18584070796464,4831.858407079646,0.13,628.141592920354,5460,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
37,空调水,法兰闸阀,DN65,RVHX非升杆手轮型弹性座封闸阀,,,,,,,个,45,369.9115044247788,16646.017699115047,0.13,2163.982300884956,18810.000000000004,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
38,空调水,铜丝扣闸阀,DN50,BAGV丝口型铜质闸阀,,,,,,,个,26,159.2920353982301,4141.592920353983,0.13,538.4070796460178,4680,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
39,空调水,铜丝扣闸阀,DN40,BAGV丝口型铜质闸阀,,,,,,,个,33,107.96460176991151,3562.83185840708,0.13,463.1681415929204,4026,班尼戈,2025.4.21，无预付款，货到现场验收合格2月后付至到货金额的95%，5%质保2年
