序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,给排水,闸阀,DN200,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,42,6468.141592920355,271661.9469026549,0.13,35316.05309734514,306978,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
2,给排水,闸阀,DN150,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,23,4009.7345132743367,92223.89380530974,0.13,11989.106194690266,104213,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
3,给排水,闸阀,DN150,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,1,4009.7345132743367,4009.7345132743367,0.13,521.2654867256638,4531,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
4,给排水,闸阀,DN150,TMRC-25P,2.5MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,7,5248.672566371682,36740.707964601774,0.13,4776.292035398231,41517.00000000001,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
5,给排水,闸阀,DN100,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,62,2241.5929203539827,138978.76106194692,0.13,18067.2389380531,157046.00000000003,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
6,给排水,闸阀,DN100,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,38,2241.5929203539827,85180.53097345134,0.13,11073.469026548675,96254.00000000001,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
7,给排水,闸阀,DN100,TMRC-25P,2.5MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,6,2429.203539823009,14575.221238938055,0.13,1894.778761061947,16470,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
8,给排水,闸阀,DN80,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,69,1688.495575221239,116506.19469026549,0.13,15145.805309734515,131652,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
9,给排水,闸阀,DN80,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,20,1688.495575221239,33769.91150442478,0.13,4390.088495575222,38160,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
