序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,空调水,闸阀,DN50,PN25S,3.0Mpa,青铜,青铜,青铜,青铜,青铜,个,24,333.6283185840708,8007.0796460177,0.13,1040.920353982301,9048,KIZZ,黄铜阀体，实心楔形铸青铜闸板，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
2,空调水,闸阀,DN50,PN16HRZ,1.6Mpa,黄铜,黄铜,黄铜,黄铜,黄铜,个,4,186.72566371681418,746.9026548672567,0.13,97.09734513274338,844.0000000000001,KIZZ,黄铜阀体，实心楔形铸青铜闸板，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
3,空调水,闸阀,DN40,PN16HRZ,1.6Mpa,黄铜,黄铜,黄铜,黄铜,黄铜,个,13,132.7433628318584,1725.6637168141592,0.13,224.3362831858407,1950,KIZZ,黄铜阀体，实心楔形铸青铜闸板，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
4,空调水,闸阀,DN50,PN16HRZ,1.0MP,黄铜,黄铜,黄铜,黄铜,黄铜,个,4,186.72566371681418,746.9026548672567,0.13,97.09734513274338,844.0000000000001,KIZZ,黄铜阀体，实心楔形铸青铜闸板，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
5,空调水,闸阀,DN40,PN16HRZ,1.0MP,黄铜,黄铜,黄铜,黄铜,黄铜,个,34,130.08849557522126,4423.008849557523,0.13,574.991150442478,4998.000000000001,KIZZ,黄铜阀体，实心楔形铸青铜闸板，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
6,空调水,闸阀,DN40,PN25S,3.0Mpa,青铜,青铜,青铜,青铜,青铜,个,4,246.01769911504428,984.0707964601771,0.13,127.92920353982304,1112.0000000000002,KIZZ,黄铜阀体，实心楔形铸青铜闸板，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
7,空调水,闸阀,DN32,PN16HRZ,1.6Mpa,黄铜,黄铜,黄铜,黄铜,黄铜,个,3,90.26548672566372,270.79646017699116,0.13,35.20353982300885,306,KIZZ,黄铜阀体，实心楔形铸青铜闸板，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
8,空调水,闸阀,DN32,PN25S,3.0Mpa,青铜,青铜,青铜,青铜,青铜,个,3,147.78761061946904,443.3628318584071,0.13,57.63716814159292,501,KIZZ,黄铜阀体，实心楔形铸青铜闸板，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
9,空调水,闸阀,DN20,PN16HRZ,1.6Mpa,黄铜,黄铜,黄铜,黄铜,黄铜,个,2,43.362831858407084,86.72566371681417,0.13,11.274336283185843,98.00000000000001,KIZZ,黄铜阀体，实心楔形铸青铜闸板，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
10,空调水,截止阀,DN50,PN16CZ,1.0Mpa,黄铜,黄铜,黄铜,黄铜,黄铜,个,56,211.5044247787611,11844.24778761062,0.13,1539.7522123893807,13384.000000000002,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
11,空调水,截止阀,DN50,PN16CZ,1.6Mpa,黄铜,黄铜,黄铜,黄铜,黄铜,个,8,211.5044247787611,1692.0353982300887,0.13,219.96460176991155,1912.0000000000002,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
12,空调水,截止阀,DN50,PN25A,2.5Mpa,青铜,青铜,青铜,青铜,青铜,个,13,488.495575221239,6350.442477876107,0.13,825.5575221238939,7176.000000000001,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
13,空调水,截止阀,DN50,PN25A,3.0Mpa,青铜,青铜,青铜,青铜,青铜,个,28,488.495575221239,13677.876106194692,0.13,1778.12389380531,15456.000000000002,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
14,空调水,截止阀,DN40,PN25A,2.5Mpa,青铜,青铜,青铜,青铜,青铜,个,20,220.35398230088498,4407.0796460177,0.13,572.920353982301,4980.000000000001,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
15,空调水,截止阀,DN40,PN16CZ,1.0Mpa,黄铜,黄铜,黄铜,黄铜,黄铜,个,148,130.97345132743365,19384.07079646018,0.13,2519.9292035398234,21904.000000000004,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
16,空调水,截止阀,DN32,PN16CZ,1.0Mpa,黄铜,黄铜,黄铜,黄铜,黄铜,个,50,99.11504424778762,4955.752212389381,0.13,644.2477876106196,5600.000000000001,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
17,空调水,截止阀,DN25,PN16CZ,1.0Mpa,黄铜,黄铜,黄铜,黄铜,黄铜,个,1,64.60176991150443,64.60176991150443,0.13,8.398230088495577,73.00000000000001,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
18,空调水,截止阀,DN25,PN25A,2.5Mpa,青铜,青铜,青铜,青铜,青铜,个,2,104.42477876106196,208.84955752212392,0.13,27.15044247787611,236.00000000000003,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
19,空调水,截止阀,DN25,PN25A,3.0Mpa,青铜,青铜,青铜,青铜,青铜,个,8,104.42477876106196,835.3982300884957,0.13,108.60176991150443,944.0000000000001,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
20,空调水,截止阀,DN20,PN16CZ,1.6Mpa,黄铜,黄铜,黄铜,黄铜,黄铜,个,1006,44.247787610619476,44513.27433628319,0.13,5786.725663716815,50300.00000000001,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
21,空调水,截止阀,DN20,PN16CZ,1.0Mpa,黄铜,黄铜,黄铜,黄铜,黄铜,个,4,44.247787610619476,176.9911504424779,0.13,23.00884955752213,200.00000000000003,KIZZ,黄铜阀盖、铸青铜阀瓣，2025.10.9，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
