序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,空调水,闸阀,DN200,法兰,1.6Mpa,,青铜,铸铁,炼造黄铜,硬密封,个,5,2777.87610619469,13889.380530973449,0.13,1805.6194690265484,15694.999999999996,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
2,空调水,闸阀,DN100,法兰,2.5Mpa,,青铜,铸铁,炼造黄铜,硬密封,个,10,1868.14159292035,18681.4159292035,0.13,2428.5840707964553,21109.999999999956,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
3,空调水,闸阀,DN100,法兰,1.6Mpa,,青铜,铸铁,炼造黄铜,硬密封,个,8,1038.93805309735,8311.5044247788,0.13,1080.4955752212438,9392.000000000044,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
4,空调水,闸阀,DN80,法兰,2.5Mpa,,青铜,铸铁,炼造黄铜,硬密封,个,15,1169.02654867257,17535.39823008855,0.13,2279.601769911512,19815.000000000062,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
5,空调水,闸阀,DN80,法兰,1.6Mpa,,青铜,铸铁,炼造黄铜,硬密封,个,8,704.424778761062,5635.398230088496,0.13,732.6017699115046,6368.000000000001,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
6,空调水,闸阀,DN80,法兰,2.5Mpa,,青铜,铸铁,炼造黄铜,硬密封,个,1,1169.02654867257,1169.02654867257,0.13,151.9734513274341,1321.000000000004,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
7,空调水,闸阀,DN65,法兰,2.5Mpa,,青铜,铸铁,炼造黄铜,硬密封,个,25,877.87610619469,21946.902654867252,0.13,2853.0973451327427,24799.999999999993,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
8,空调水,闸阀,DN65,法兰,1.6Mpa,,青铜,铸铁,炼造黄铜,硬密封,个,42,579.646017699115,24345.13274336283,0.13,3164.867256637168,27509.999999999996,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
9,空调水,截止阀,DN100,法兰,1.6Mpa,,铸铁,铸铁,黄铜,硬密封,个,12,1612.38938053097,19348.67256637164,0.13,2515.327433628313,21863.999999999953,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
10,空调水,截止阀,DN100,法兰,2.5Mpa,,铸铁,铸铁,黄铜,硬密封,个,1,1656.63716814159,1656.63716814159,0.13,215.3628318584067,1871.9999999999968,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
11,空调水,截止阀,DN80,法兰,1.6Mpa,,铸铁,铸铁,黄铜,硬密封,个,16,1043.36283185841,16693.80530973456,0.13,2170.1946902654927,18864.00000000005,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
12,空调水,截止阀,DN80,法兰,2.5Mpa,,铸铁,铸铁,黄铜,硬密封,个,3,1286.72566371681,3860.17699115043,0.13,501.8230088495559,4361.999999999985,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
13,空调水,截止阀,DN65,法兰,1.6Mpa,,铸铁,铸铁,黄铜,硬密封,个,121,784.070796460177,94872.56637168142,0.13,12333.433628318584,107206,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
14,空调水,截止阀,DN65,法兰,2.5Mpa,,铸铁,铸铁,黄铜,硬密封,个,4,1023.89380530973,4095.57522123892,0.13,532.4247787610597,4627.99999999998,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
15,空调水,蝶阀,DN65,法兰,2.5Mpa,,铸铁,铸铁,不锈钢,EPDM,个,5,460.176991150443,2300.884955752215,0.13,299.1150442477879,2600.0000000000027,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
16,空调水,蝶阀,DN80,法兰,1.6Mpa,,铸铁,铸铁,不锈钢,EPDM,个,6,214.159292035398,1284.955752212388,0.13,167.04424778761046,1451.9999999999984,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
17,空调水,蝶阀,DN80,法兰,2.5Mpa,,铸铁,铸铁,不锈钢,EPDM,个,29,492.035398230089,14269.026548672582,0.13,1854.9734513274357,16124.000000000018,KIZZ,2025.12.4，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
