序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
1,风阀,BED,1000*400,2mm,1,个,605,605,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
2,风阀,BED,1000*630,2mm,1,个,687,687,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
3,风阀,BED,1200*800,2mm,1,个,811,811,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
4,风阀,BED,1250*500,2mm,1,个,707,707,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
5,风阀,BED,1250*800,2mm,1,个,827,827,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
6,风阀,BED,1800*800,2mm,1,个,1253,1253,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
7,风阀,BED,200*120,2mm,1,个,346,346,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
8,风阀,BED,2500*400,2mm,1,个,1335,1335,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
9,风阀,BED,320*120,2mm,1,个,369,369,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
10,风阀,BED,320*160,2mm,1,个,379,379,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
11,风阀,BED,400*200,2mm,4,个,405,1620,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
12,风阀,BED,400*250,2mm,1,个,418,418,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
13,风阀,BED,400*320,2mm,1,个,435,435,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
14,风阀,BED,500*250,2mm,3,个,440,1320,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
15,风阀,BED,500*320,2mm,1,个,459,459,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
16,风阀,BED,500*800,2mm,1,个,587,587,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
17,风阀,BED,600*1200,2mm,1,个,982,982,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
18,风阀,BED,630*250,2mm,1,个,469,469,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
19,风阀,BED,630*320,2mm,2,个,489,978,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
20,风阀,BED,630*400,2mm,3,个,512,1536,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
21,风阀,BED,800*250,2mm,1,个,507,507,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
22,风阀,BED,800*400,2mm,1,个,555,555,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
23,风阀,BED,800*500,2mm,2,个,587,1174,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
24,风阀,BED,800*630,2mm,1,个,629,629,扬州新扬,半自动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
25,风阀,CAV,320*200,,20,个,374,7480,扬州新扬,机械气囊式，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
26,风阀,CAV,320*250,,8,个,388,3104,扬州新扬,机械气囊式，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
27,风阀,CAV,500*120,,17,个,394,6698,扬州新扬,机械气囊式，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
28,风阀,FD,1000*400,2mm,7,个,422,2954,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
29,风阀,FD,1000*500,2mm,7,个,458,3206,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
30,风阀,FD,1000*630,2mm,6,个,504,3024,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
31,风阀,FD,1000*800,2mm,21,个,565,11865,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
32,风阀,FD,120*100,2mm,28,个,143,4004,扬州新扬,手动机构，2025.11.3，无预付款，货到现场俩个月付至80%，竣工验收付至90%，结算完成付至97%，3%质保2年
