序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
1,单层格栅风口 AH,AH,600*1000,JG/T14-2010,4,个,131,524,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
2,单层格栅风口 AH,AH,600*600,JG/T14-2010,13,个,90,1170,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
3,单层格栅风口 AH,AH,500*500,JG/T14-2010,6,个,70,420,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
4,单层格栅风口 AH,AH,400*400,JG/T14-2010,14,个,53,742,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
5,单层格栅风口 AH,AH,350*350,JG/T14-2010,1,个,47,47,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
6,单层格栅风口 AH,AH,800*250,JG/T14-2010,2,个,62,124,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
7,防火风口 GF带防虫网,GF,φ300,JG/T14-2010,77,个,294,22638,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
8,方形散流器 C4/D,C4/D,600*600,JG/T14-2010,1,个,194,194,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
9,方形散流器 C4/D,C4/D,400*400,JG/T14-2010,5,个,134,670,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
10,方形散流器 C4/D,C4/D,350*350,JG/T14-2010,1,个,115,115,靖江启达,2025.1.8，无预付款，货到现场验收合格2月内付至到货款50%，竣工验收后付至80%，结算并档案验收后付至结算金额97%，3%质保2年
