序号,名称,型号,风盘管制,风量m³/h,数量,单位,过滤网材质,风盘本体价格,回风箱价格,滴水盘价格,单价合计,价税合计,品牌,备注滴水盘材质、长度
1,卧式暗装风机盘管,F-3,两管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修；4、满足低温水工况；5、冷轧镀锌钢板制成，厚度不小于",19,台,,,,,735,13965,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
2,卧式暗装风机盘管,F-4,两管制,"1、带回风箱(后回风),2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于",53,台,,,,,830,43990,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
3,卧式暗装风机盘管,F-8,两管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于",1,台,,,,,1230,1230,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
4,卧式暗装风机盘管,F-2,四管制,"1、带向风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况；5、冷轧镀锌钢板制成，厚度不小于",1,台,,,,,730,730,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
5,卧式暗装风机盘管,F-4,四管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于",11,台,,,,,980,10780,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
6,卧式暗装风机盘管,F-6,四管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于",21,台,,,,,1130,23730,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
7,卧式暗装风机盘管,F-8,四管制,"1、带回风箱(后回风):2、铝质过滤网，可分段，可拆洗：3、回风箱底
部可拆卸检修：4、满足低温水工况：5、冷轧镀锌钢板制成，厚度不小于",32,台,,,,,1530,48960,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
8,温控面板(联网型),,两管制三线,"1、风速高中低挡调节：2、通讯接口：485(2线);通讯协议： MODBUS;3
外置感温探头接口；",73,套,,,,,150,10950,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
9,温控面板(联网型),,四管制三线,"1、风速高中低挡调节：2、通讯接口：485(2线);通讯协议： MODBUS;3
外置感温探头接口；",65,套,,,,,150,9750,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
10,温控面板(联网型),,两管制三线,1、风速高中低挡调节：2、通讯接口：485(2线):通讯协议： MODBUS:,1,套,,,,,150,150,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
11,温控面板(联网型),,四管制三线,1、风速高中低挡调节：2、通讯接口：485(2线):通讯协议： MODBUS:,1,套,,,,,150,150,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
12,温控面板(普通型),,两管制三线,1、风速高中低挡调节；2、外置感温探头接口；,1,套,,,,,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
13,温控面板(普通型),,四管制三线,1、风速高中低挡调节；2、外置感温探头接口；,1,套,,,,,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
14,温控面板(普通型),,两管制三线,1、风速高中低挡调节；,1,套,,,,,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
15,温控面板(普通型),,四管制三线,1、风速高中低挡调节；,1,套,,,,,130,130,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
16,外置感温线,,,1、带感温探头；2、长度1.5米；3、带接口,50,套,,,,,4,200,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
17,外置感温线,,,1、带感温探头；2、长度3米；3、带接口,50,套,,,,,10,500,特灵,2025.4.3，无预付款，货到现场验收合格1月后支付至送货金额97%，3%质保2年
