序号,名称,型号,风盘管制,风量m³/h,数量,单位,过滤网材质,风盘本体价格,回风箱价格,滴水盘价格,单价合计,价税合计,品牌,备注滴水盘材质、长度
1,风机盘管,FCU(2)-1P,,,3,台,,,,,1152,3456,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
2,风机盘管,FCU(2)-2P,,,13,台,,,,,1011,13143,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
3,风机盘管,FCU(2)-3P,,,2,台,,,,,759,1518,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
4,风机盘管,FCU(2)-4P,,,8,台,,,,,649,5192,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
5,风机盘管,FCU(2)-5P,,,6,台,,,,,594,3564,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
6,风机盘管,FCU(4)-2P,,,62,台,,,,,1253,77686,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
7,风机盘管,FCU(4)-3P,,,2,台,,,,,914,1828,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
8,风机盘管,FCU(4)-4P,,,5,台,,,,,793,3965,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
9,风机盘管,FCU(4)-5P,,,65,台,,,,,713,46345,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
10,温控器,,,,166,套,,,,,177,29382,特灵,2025.12.10，发货前支付至发货金额70%，竣工验收合格后供方开具结算金额5%银行两年质保保函，付至结算金额100%
