上海建工一建集团有限公司安装工程公司,,,,,,,,,,,,,
风机盘管报价清单,,,,,,,,,,,,,
序号,名称,型号,风盘管制,风量m³/h,数量,单位,过滤网材质,风盘本体价格,回风箱价格,滴水盘价格,单价合计,价税合计,备注滴水盘材质、长度
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
注：,1、报价需包含运输，板车交货等费用。,,,,,,,,,,,,
,2、本报价包含节能检测费用        台。,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
风机盘管温控器,,,,,,,,,,,,,
序号,名称,品牌,接管数量,数量,单价,价税合计,技术要求（项目部自填）,,,,,,
,,,,,,,1、xxxxxxxxx；                             2、xxxxxxxxx；                               3、xxxxxxxxx；                             4、xxxxxxxxx,,,,,,
