序号,名称,规格,壁厚,牌号,连接方式,承压,单位,工程量,不含税单价,不含税总价,含税单价,含税总价,品牌,备注
1,不锈钢316L薄壁不锈钢管,DN40,0,316,0,0,m,1229,59.99,73727.71,67.7887,83312.3123,金羊,2025.2.17，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
2,不锈钢316L薄壁不锈钢管,DN50,0,316,0,0,m,867,77.52,67209.84,87.5976,75947.1192,金羊,2025.2.17，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
3,不锈钢316L薄壁不锈钢管,DN65,0,316,0,0,m,1201,115.19,138343.19,130.1647,156327.8047,金羊,2025.2.17，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
4,不锈钢316L薄壁不锈钢管,DN80,0,316,0,0,m,181,172.8,31276.8,195.264,35342.784,金羊,2025.2.17，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
5,卡箍连接件(含胶圈),DN100,0,0,0,0,套,872,17.88,15591.36,20.2044,17618.2368,金羊,2025.2.17，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
6,卡箍连接件(含胶圈),DN150,0,0,0,0,套,900,32,28800,36.16,32544,金羊,2025.2.17，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
7,卡箍连接件(含胶圈),DN200,0,0,0,0,套,305,56.47,17223.35,63.8111,19462.3855,金羊,2025.2.17，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
8,卡压式不锈钢管件,DN50,0,0,0,0,个,1104,70.05,77335.2,79.1565,87388.776,金羊,2025.2.17，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
9,卡压式不锈钢管件,DN65,0,0,0,0,个,632,169,106808,190.97,120693.04,金羊,2025.2.17，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
10,卡压式不锈钢管件,DN80,0,0,0,0,个,300,227.74,68322,257.3462,77203.86,金羊,2025.2.17，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
11,卡压式不锈钢管件,DN100,0,0,0,0,个,772,339.77,262302.44,383.9401,296401.7572,金羊,2025.2.17，无预付款，货到现场且验收合格后2月内付至到货款的70%，调试完毕付至到货款的85%，竣工合格后付至到货款的95%，5%质保2年。
