序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
1,普通线槽100*50,100*50,镀锌材质,,,,5482,m,,,18.0106632,98734.4556624,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
2,桥架:100*100,100*100,镀锌材质,,,,564,m,,,23.0253094,12986.2745016,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
3,桥架:200*100,200*100,镀锌材质,,,,7819,m,,,39.678481,310246.042939,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
4,桥架:300*100,300*100,镀锌材质,,,,357,m,,,51.6579726,18441.8962182,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
5,桥架:300*200,300*200,镀锌材质,,,,965,m,,,63.6374642,61410.152953,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
6,桥架:300x150,300*150,镀锌材质,,,,299,m,,,57.6902064,17249.3717136,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
7,桥架：500*200,500*200,镀锌材质,,,,89,m,,,109.6020448,9754.5819872,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
8,桥架100Wx100H,100*100,镀锌材质,,,,1604,m,,,23.0253094,36932.5962776,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
9,桥架400*200,400*200,镀锌材质,,,,291,m,,,94.5634172,27517.954405200002,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
10,桥架W150xH100,150*100,镀锌材质,,,,21,m,,,28.0378312,588.7944552,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
11,桥架W300xH150,300*150,镀锌材质,,,,27,m,,,57.6902064,1557.6355728,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
12,桥架W50xH50,50*50,镀锌材质,,,,20,m,,,15.2924934,305.849868,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
13,桥架W600xH200,600*200,镀锌材质,,,,54,m,,,166.1875632,8974.1284128,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
14,桥架W800xH200,800*200,镀锌材质,,,,390,m,,,206.2059482,80420.319798,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
15,室外非消防桥架W100xH100,100*100,镀锌材质喷防火漆,,,,10,m,,,23.0253094,230.253094,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
16,室外非消防桥架W150xH100,150*100,镀锌材质喷防火漆,,,,8.3,m,,,32.2866312,267.97903896,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
17,室外非消防桥架W200xH100,200*100,镀锌材质喷防火漆,,,,14,m,,,43.9262188,614.9670632,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
18,室外消防桥架W100xH100,100*100,镀锌材质喷防火漆,,,,15,m,,,29.7384134,446.07620099999997,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
19,室外消防桥架W200xH100,200*100,镀锌材质喷防火漆,,,,2,m,,,49.7874384,99.5748768,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
20,线槽150*100,150*100,镀锌材质,,,,1170,m,,,28.0378312,32804.262504,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
21,消防桥架:100*100,100*100,镀锌材质喷防火漆,,,,757,m,,,26.9342054,20389.1934878,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
22,消防桥架:200*100,200*100,镀锌材质喷防火漆,,,,1396,m,,,45.2847726,63217.542549599995,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
23,消防桥架:300*100,300*100,镀锌材质喷防火漆,,,,42,m,,,59.4056594,2495.0376948,瑞井,,2025.7.17，无预付款，货到现场一月内付至到货款70%，竣工验收合格付至到货款85%，结算并移交档案后付至97%，3%质保2年。
