序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
1,消防电力梯架300*200,300*200,热浸镀锌钢板,1.2,1.2,1,20,m,44.96,13.2,58.16,1163.2,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
2,消防电力梯架300*150,300*150,热浸镀锌钢板,1.2,1.2,1,84,m,"38,74",13.2,51.94,4362.96,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
3,消防电力梯架200x100,200x100,热浸镀锌钢板,1.2,1.2,1,80,m,27.91,9.1,37.01,2960.8,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
4,普通电力梯架1200*200(中间加防火隔板),1200*200,热浸镀锌钢板,2.5,2.5,2,46,m,164.01,91.2,255.21,11739.66,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
5,普通电力梯架1000*200(中间加防火隔板),1000*200,热浸镀锌钢板,2.5,2.5,2,10,m,148.8,76.8,225.6,2256,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
6,普通电力梯架600*150(中间加防火隔板),600*150,热浸镀锌钢板,2,2,1.5,10,m,79.71,34.5,114.21,1142.1,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
7,普通电力梯架500x150(中间加防火隔板),500x150,热浸镀锌钢板,1.5,1.5,1.2,40,m,58.13,23.3,81.43,3257.2,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
8,普通电力梯架300*200(中间加防火隔板),300*200,热浸镀锌钢板,1.2,1.2,1,4,m,49.25,11.9,61.15,244.6,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
9,消防电力桥架600*150,600*150,热浸镀锌钢板,3,3,1.5,20,m,167.43,38.2,205.63,4112.6,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
10,消防电力桥架500*150,500*150,热浸镀锌钢板,3,3,1.5,14,m,149.69,32.2,181.89,2546.46,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
11,消防电力桥架400*150,400*150,热浸镀锌钢板,2,2,1.2,146,m,95.78,20.9,116.68,17035.28,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
12,消防电力桥架300*150,300*150,热浸镀锌钢板,2,2,1.2,84,m,81.53,16,97.53,8192.52,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
13,消防电力桥架300*200,300*200,热浸镀锌钢板,2,2,1.2,4,m,93.51,16,109.51,438.04,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
14,消防电力桥架200*150,200*150,热浸镀锌钢板,1.2,1.2,1,220,m,42.72,9.1,51.82,11400.4,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
15,消防电力桥架200*100,200*100,热浸镀锌钢板,1.2,1.2,1,110,m,34.96,9.1,44.06,4846.6,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
16,消防电力桥架100*100,100*100,热浸镀锌钢板,1.2,1.2,1,680,m,25.32,5,30.32,20617.6,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
17,消防电力桥架100*50,100*50,热浸镀锌钢板,1.2,1.2,1,500,m,16.44,5,21.44,10720,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
18,普通电力桥架800*200,800*200,热浸镀锌钢板,3,3,1.5,24,m,203.74,45.6,249.34,5984.16,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
19,普通电力桥架600*200,600*200,热浸镀锌钢板,3,3,1.5,156,m,163,34.4,197.4,30794.4,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
20,普通电力桥架600*150,600*150,热浸镀锌钢板,3,3,1.5,22,m,148.67,34.4,183.07,4027.54,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
21,普通电力桥架500*150,500*150,热浸镀锌钢板,3,3,1.5,2,m,130.1,29,159.1,318.2,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
22,普通电力桥架400*200,400*200,热浸镀锌钢板,2,2,1.2,50,m,93.06,18.8,111.86,5593,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
23,普通电力桥架400*150,400*150,热浸镀锌钢板,2,2,1.2,94,m,83.19,18.8,101.99,9587.06,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
24,普通电力桥架300*200,300*200,热浸镀锌钢板,2,2,1.2,2,m,82.26,14.2,96.46,192.92,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
25,普通电力桥架300*150,300*150,热浸镀锌钢板,2,2,1.2,2,m,70.87,14.2,85.07,170.14,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
26,普通电力桥架300*100,300*100,热浸镀锌钢板,2,2,1.2,112,m,60.3,14.2,74.5,8344,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
27,普通电力桥架200*150,200*150,热浸镀锌钢板,1.2,1、2,1,80,m,36.82,8.3,45.12,3609.6,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
28,普通电力桥架200*100,200*100,热浸镀锌钢板,1.2,1.2,1,252,m,30.24,8.3,38.54,9712.08,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
29,普通电力桥架150*150,150*150,热浸镀锌钢板,1.2,1.2,1,12,m,32.75,6.5,39.25,471,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
30,普通电力桥架150*100,150*100,热浸镀锌钢板,1.2,1.2,1,12,m,25.81,6.5,32.31,387.72,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
31,普通电力桥架100*100,100*100,热浸镀锌钢板,1.2,1.2,1,420,m,20.96,4.6,25.56,10735.2,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
32,普通电力桥架100*50,100*50,热浸镀锌钢板,1.2,1.2,1,58,m,15.26,4.6,19.86,1151.88,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
33,普通电力桥架1200*200(中间加防火隔板),1200*200,热浸镀锌钢板,3,3,1.5,4,m,301.61,68.4,370.01,1480.04,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
34,普通电力桥架1000*200(中间加防火隔板),1000*200,热浸镀锌钢板,3,3,1.5,10,m,263.28,57.7,320.78,3207.8,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
35,普通电力桥架800*150(中间加防火隔板),800*150,热浸镀锌钢板,3,3,1.5,64,m,203.97,45.6,249.57,15972.48,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
36,普通电力桥架600*200(中间加防火隔板),600*200,热浸镀锌钢板,3,3,1.5,84,m,191.22,34.5,225.72,18960.48,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
37,普通电力桥架600*150(中间加防火隔板),600*150,热浸镀锌钢板,3,3,1.5,72,m,167.84,34.5,202.34,14568.48,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
38,普通电力桥架500*150(中间加防火隔板),500*150,热浸镀锌钢板,3,3,1.5,92,m,139.97,29,168.97,15545.24,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
39,普通电力桥架400*200(中间加防火隔板),400*200,热浸镀锌钢板,2,2,1.2,28,m,106.71,18.9,125.61,3517.08,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
40,普通电力桥架400*150(中间加防火隔板),400*150,热浸镀锌钢板,2,2,1.2,250,m,93.2,18.9,112.1,28025,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
41,普通电力桥架300*200(中间加防火隔板),300*200,热浸镀锌钢板,2,2,1.2,8,m,95.82,14.4,110.22,881.76,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
42,普通电力桥架300*150(中间加防火隔板),300*150,热浸镀锌钢板,2,2,1.2,164,m,80.89,14.4,95.29,15627.56,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
43,普通电力桥架300*100(中间加防火隔板),300*100,热浸镀锌钢板,2,2,1.2,20,m,65.38,14.4,79.78,1595.6,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
44,普通电力桥架200*100(中间加防火隔板),200*100,热浸镀锌钢板,1.2,1.2,1,150,m,35.29,8.3,43.59,6538.5,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
45,线槽200*100,200*100,热浸镀锌钢板,1.2,1.2,1,430,m,30.24,8.3,38.54,16572.2,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
46,线槽100*100,100*100,热浸镀锌钢板,1.2,1.2,1,852,m,20.96,4.6,25.56,21777.12,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
47,线槽100*50,100*50,热浸镀锌钢板,1.2,1.2,1,1398,m,15.26,4.6,19.86,27764.28,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
48,线槽75*75,75*75,热浸镀锌钢板,1.2,1.2,1,40,m,16.61,3.6,20.21,808.4,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
49,线槽50*50,50*50,热浸镀锌钢板,1.2,1.2,1,40,m,11.3,2.8,14.1,564,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
50,垂直照明线槽100*100,100*100,热浸镀锌钢板,1.2,1.2,1,84,m,24.66,4.6,29.26,2457.84,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
51,普通电力防水桥架400*150,400*150,热浸锌,2,2,1.2,34,,108.1,35.9,144,4896,江苏华威线路设备集团有限公司,T/CEC31-2017,热浸镀锌，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
52,普通电力防水桥架600*150,600*150,热浸锌,3,3,1.5,58,m,190.3,61.1,251.4,14581.2,江苏华威线路设备集团有限公司,T/CEC31-2017,热浸镀锌，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
53,普通电力防水桥架200*100,200*100,热浸锌,1.2,1.2,1,18,m,49.2,16.6,65.8,1184.4,江苏华威线路设备集团有限公司,T/CEC31-2017,热浸镀锌，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
54,普通电力防水桥架100*50,100*50,热浸锌,1.2,1.2,1,28,m,23.5,9.1,32.6,912.8,江苏华威线路设备集团有限公司,T/CEC31-2017,热浸镀锌，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
55,弱电综合桥架100*10,100*100,热浸镀锌钢板,1.2,1.2,1,26,m,20.96,4.6,25.56,664.56,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
56,弱电综合线槽100*50,100*50,热浸镀锌钢板,1.2,1.2,1,80,m,15.26,4.6,19.86,1588.8,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
57,弱电综合桥架100*100,100*100,热浸镀锌钢板,1.2,1.2,1,1894,m,20.96,4.6,25.56,48410.64,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
58,弱电综合线槽150*100,150*100,热浸镀锌钢板,1.2,1.2,1,78,m,25.58,6.5,32.08,2502.24,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
59,弱电综合桥架200*100,200*100,热浸镀锌钢板,1.2,1.2,1,984,m,30.24,8.3,38.54,37923.36,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
60,弱电综合桥架300*100,300*100,热浸镀锌钢板,2,2,1.2,114,m,60.33,14.4,74.73,8519.22,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
61,弱电综合线槽100*100(二分隔),100*100,热浸镀锌钢板,1.2,1.2,1,92,m,25.72,4.6,30.32,2789.44,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
62,垂直线槽150*100,150*100,热浸镀锌钢板,1.2,1.2,1,170,m,28.04,6.5,34.54,5871.8,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
63,垂直线槽100*100,100*100,热浸镀锌钢板,1.2,1.2,1,86,m,23.66,4.6,28.26,2430.36,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
64,垂直消防线槽200x100,200x100,热浸镀锌钢板,1.2,1.2,1,84,m,35.5,9.1,44.6,3746.4,江苏华威线路设备集团有限公司,T/CEC31-2017,热镀锌钢板+防火，2025.11.24，无预付款，货到现场验收合格后一个月内付至到货款的100%
