序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
1,10kV用金属线槽200*200,200*200,优质冷轧板,1.5,1.5,1.5,38.85,m,36.79,10.88,47.67,1851.9795000000001,特尔固,B/T10216-2013标准,2025.3.4；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额80%；(3)、工程竣工验收合格付至送货金额90%；(4)、甲方与业主结算完成后付至结算金额的97%；(5)、留结算金额 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
2,10kV用金属线槽400*200,400*200,优质冷轧板,2,2,2,125.83,m,72.99,24.93,97.91999999999999,12321.273599999999,特尔固,JB/T 10216-2013标准,2025.3.4；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额80%；(3)、工程竣工验收合格付至送货金额90%；(4)、甲方与业主结算完成后付至结算金额的97%；(5)、留结算金额 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
3,10kV用金属线槽600*200,600*200,优质冷轧板,2,2,2,137.18,m,90.89,36.7,127.59,17502.7962,特尔固,JB/T 10216-2013标准,2025.3.4；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额80%；(3)、工程竣工验收合格付至送货金额90%；(4)、甲方与业主结算完成后付至结算金额的97%；(5)、留结算金额 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
4,10kV用金属线槽800*200,800*200,优质冷轧板,2.5,2.5,2.5,75.48,m,108.61,48.66,157.26999999999998,11870.739599999999,特尔固,JB/T 10216-2013标准,2025.3.4；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额80%；(3)、工程竣工验收合格付至送货金额90%；(4)、甲方与业主结算完成后付至结算金额的97%；(5)、留结算金额 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
5,10kV用金属线槽1000*200,1000*200,优质冷轧板,2.5,2.5,2.5,95.94,m,161.52,90.8,252.32,24207.5808,特尔固,JB/T 10216-2013标准,2025.3.4；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额80%；(3)、工程竣工验收合格付至送货金额90%；(4)、甲方与业主结算完成后付至结算金额的97%；(5)、留结算金额 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
6,U钢无侧板梯式桥架100宽,100,Q235,2.5,2,,28.36,m,,,35,992.6,特尔固,JB/T 10216-2013标准,2025.3.4；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额80%；(3)、工程竣工验收合格付至送货金额90%；(4)、甲方与业主结算完成后付至结算金额的97%；(5)、留结算金额 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
7,U钢无侧板梯式桥架200宽,200,Q235,2.5,2,,1776.41,m,,,37,65727.17,特尔固,JB/T 10216-2013标准,2025.3.4；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额80%；(3)、工程竣工验收合格付至送货金额90%；(4)、甲方与业主结算完成后付至结算金额的97%；(5)、留结算金额 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
8,U钢无侧板梯式桥架300宽,300,Q235,2.5,2,,34.57,m,,,43,1486.51,特尔固,JB/T 10216-2013标准,2025.3.4；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额80%；(3)、工程竣工验收合格付至送货金额90%；(4)、甲方与业主结算完成后付至结算金额的97%；(5)、留结算金额 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
9,U钢无侧板梯式桥架400宽,400,Q235,2.5,2,,47.92,m,,,47,2252.2400000000002,特尔固,JB/T 10216-2013标准,2025.3.4；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额80%；(3)、工程竣工验收合格付至送货金额90%；(4)、甲方与业主结算完成后付至结算金额的97%；(5)、留结算金额 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
10,U钢无侧板梯式桥架600宽,600,Q235,3,2,,149.36,m,,,61,9110.960000000001,特尔固,JB/T 10216-2013标准,2025.3.4；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额80%；(3)、工程竣工验收合格付至送货金额90%；(4)、甲方与业主结算完成后付至结算金额的97%；(5)、留结算金额 3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。
