序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
1,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",1000*200,,,1.5,0.6,147,m,135,42,177,26019,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
2,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",800*200,,,1.5,0.6,12,m,120,29,149,1788,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
3,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",800*150,,,1.5,0.6,95,m,110,29,139,13205,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
4,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",600*200,,,1.2,0.6,233,m,79,27,106,24698,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
5,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",600*150,,,1.2,0.6,1194,m,73,27,100,119400,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
6,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",500*200,,,1.2,0.6,1,m,72,23,95,95,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
7,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",500*150,,,1.2,0.6,6,m,64,23,87,522,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
8,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",400*200,,,1,0.6,1,m,56,17,73,73,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
9,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",400*150,,,1,0.6,1985,m,48,17,65,129025,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
10,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",400*100,,,1,0.6,345,m,44,17,61,21045,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
11,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",300*200,,,1,0.6,1,m,52,15,67,67,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
12,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",300*150,,,1,0.6,2384,m,44,15,59,140656,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
13,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",200*100,,,0.8,0.6,3323,m,24,8,32,106336,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
14,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",100*100,,,0.8,0.6,3169,m,19,5,24,76056,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
15,"KJQG型模压增强型
节能钢制电缆桥架
(消防)",100*50,,,0.8,0.6,927,m,14,5,19,17613,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
16,"KJQG型模压增强型
节能钢制电缆桥架",1000*200,,,1.5,0.6,147,m,135,42,177,26019,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
17,"KJQG型模压增强型
节能钢制电缆桥架",800*200,,,1.5,0.6,494,m,120,29,149,73606,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
18,"KJQG型模压增强型
节能钢制电缆桥架",800*150,,,1.5,0.6,220,m,110,29,139,30580,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
19,"KJQG型模压增强型
节能钢制电缆桥架",600*200,,,1.2,0.6,1,m,79,27,106,106,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
20,"KJQG型模压增强型
节能钢制电缆桥架",600*150,,,1.2,0.6,907,m,73,27,100,90700,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
21,"KJQG型模压增强型
节能钢制电缆桥架",500*200,,,1.2,0.6,1,m,72,23,95,95,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
22,"KJQG型模压增强型
节能钢制电缆桥架",500*150,,,1.2,0.6,1,m,64,23,87,87,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
23,"KJQG型模压增强型
节能钢制电缆桥架",400*200,,,1,0.6,1,m,56,17,73,73,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
24,"KJQG型模压增强型
节能钢制电缆桥架",400*150,,,1,0.6,1990,m,48,17,65,129350,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
25,"KJQG型模压增强型
节能钢制电缆桥架",400*100,,,1,0.6,104,m,44,17,61,6344,上海碧绅,,2025.4.3，无预付款，货到现场验收合格2个月后付至送货金额的70%，竣工验收合格付至送货金额的80%，竣工结算完成后付至送货金额的95%，5%质保2年
