序号,名称,母线类型,规格型号,铜牌厚度及开关型号,接地方式,防护等级,外壳材质,品牌,系列,单位,数量,不含税单价（元）,税率,含税单价（元）,含税合价（元）,备注
1,密集母线槽,三相五线制,密集母线槽YMC-III-1600A/5P,4*(150*3)+1*(150*1.5),1/2铜牌接地,IP66,铝镁合金,"江苏
益恒",,m,111.42,1988.5,0.13,2247.0049999999997,250361.29709999997,"2025.8.11；执行标准GB7251.6-2015,参考电解铜价：79000元/吨，不含安装费；(1)无预付款;(2)货到现场验收合格一个月内付至送货金额90%:(3)工程竣工验收合格后付至结算金额的97%:(4)密结算金额3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。"
2,连接器,,1600A/5P,,1/2铜牌接地,,,"江苏
益恒",,套,48,400.88,0.13,452.9943999999999,21743.731199999995,"2025.8.11；执行标准GB7251.6-2015,参考电解铜价：79000元/吨，不含安装费；(1)无预付款;(2)货到现场验收合格一个月内付至送货金额90%:(3)工程竣工验收合格后付至结算金额的97%:(4)密结算金额3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。"
3,始端箱,,1600A,,1/2铜牌接地,,,"江苏
益恒",,台,2,513.27,0.13,579.9951,1159.9902,"2025.8.11；执行标准GB7251.6-2015,参考电解铜价：79000元/吨，不含安装费；(1)无预付款;(2)货到现场验收合格一个月内付至送货金额90%:(3)工程竣工验收合格后付至结算金额的97%:(4)密结算金额3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。"
4,连接排,,,,1/2铜牌接地,,,"江苏
益恒",,套,2,3678.76,0.13,4156.9988,8313.9976,"2025.8.11；执行标准GB7251.6-2015,参考电解铜价：79000元/吨，不含安装费；(1)无预付款;(2)货到现场验收合格一个月内付至送货金额90%:(3)工程竣工验收合格后付至结算金额的97%:(4)密结算金额3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。"
5,膨胀节,,,,1/2铜牌接地,,,"江苏
益恒",,套,1,3408.85,0.13,3852.0004999999996,3852.0004999999996,"2025.8.11；执行标准GB7251.6-2015,参考电解铜价：79000元/吨，不含安装费；(1)无预付款;(2)货到现场验收合格一个月内付至送货金额90%:(3)工程竣工验收合格后付至结算金额的97%:(4)密结算金额3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。"
6,密集母线槽,三相四线制,密集母线槽YMC-III-3150A/4P,4*(2-150*3),1/2铜牌接地,IP66,铝镁合金,"江苏
益恒",,m,7.88,4220.35,0.13,4768.9955,37579.68454,"2025.8.11；执行标准GB7251.6-2015,参考电解铜价：79000元/吨，不含安装费；(1)无预付款;(2)货到现场验收合格一个月内付至送货金额90%:(3)工程竣工验收合格后付至结算金额的97%:(4)密结算金额3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。"
7,连接器,,3150A/4P,,1/2铜牌接地,,,"江苏
益恒",,套,4,775.22,0.13,875.9985999999999,3503.9943999999996,"2025.8.11；执行标准GB7251.6-2015,参考电解铜价：79000元/吨，不含安装费；(1)无预付款;(2)货到现场验收合格一个月内付至送货金额90%:(3)工程竣工验收合格后付至结算金额的97%:(4)密结算金额3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。"
8,始端箱,,3150A,,1/2铜牌接地,,,"江苏
益恒",,台,4,610.62,0.13,690.0006,2760.0024,"2025.8.11；执行标准GB7251.6-2015,参考电解铜价：79000元/吨，不含安装费；(1)无预付款;(2)货到现场验收合格一个月内付至送货金额90%:(3)工程竣工验收合格后付至结算金额的97%:(4)密结算金额3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。"
9,连接排,,,,1/2铜牌接地,,,"江苏
益恒",,套,4,7446.9,0.13,8414.997,33659.988,"2025.8.11；执行标准GB7251.6-2015,参考电解铜价：79000元/吨，不含安装费；(1)无预付款;(2)货到现场验收合格一个月内付至送货金额90%:(3)工程竣工验收合格后付至结算金额的97%:(4)密结算金额3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。"
10,软连接,,,,1/2铜牌接地,,,"江苏
益恒",,套,2,4661.06,0.13,5266.9978,10533.9956,"2025.8.11；执行标准GB7251.6-2015,参考电解铜价：79000元/吨，不含安装费；(1)无预付款;(2)货到现场验收合格一个月内付至送货金额90%:(3)工程竣工验收合格后付至结算金额的97%:(4)密结算金额3%质保金，质保二年，质保期自工程竣工验收报告出具之日起计算(质保金无息支付)。"
