序号,名称,母线类型,规格型号,铜牌厚度及开关型号,接地方式,防护等级,外壳材质,品牌,系列,单位,数量,不含税单价（元）,税率,含税单价（元）,含税合价（元）,备注
1,密集母线槽,三相五限制,"密集母线槽 LS-
630A/5P",4*45,,IP54,,有能,,米,36,820.353982300885,0.13,927,33372,2025.6.18；此报价参考电解铜价：73410元/吨
2,母线插接箱,三相五限制,125A,"XT2N160 TMA125 FF
3P+SOR+AUX",,IP54,,有能,,台,4,1415.9292035398232,0.13,1600,6400,2025.6.18；此报价参考电解铜价：73411元/吨
3,母线插接箱,三相五限制,200A,"XT4N250 TMA200 FF
3P+SOR+AUX",,IP54,,有能,,台,1,1815.9292035398232,0.13,2052,2052,2025.6.18；此报价参考电解铜价：73412元/吨
4,始端箱,三相五限制,630A,空箱,,IP54,,有能,,台,1,395.57522123893807,0.13,447,447,2025.6.18；此报价参考电解铜价：73413元/吨
5,密集母线槽,三相五限制,"密集母线槽 LS-
800A/5P",4*55,,IP54,,有能,,米,18,979.6460176991152,0.13,1107,19926,2025.6.18；此报价参考电解铜价：73414元/吨
6,母线插接箱,三相五限制,350A,"XT5N400 TMA350 FF
3P+SOR+AUX",,IP54,,有能,,台,3,2723.893805309735,0.13,3078,9234,2025.6.18；此报价参考电解铜价：73415元/吨
7,始端箱,三相五限制,800A,空箱,,IP54,,有能,,台,1,395.57522123893807,0.13,447,447,2025.6.18；此报价参考电解铜价：73416元/吨
8,密集母线槽,三相五限制,"密集母线槽 LS-
1600A/5P",4*115,,IP54,,有能,,米,124,1876.991150442478,0.13,2121,263004,2025.6.18；此报价参考电解铜价：73417元/吨
9,母线插接箱,三相五限制,300A,"XT5N400 TMA300 FF
3P+SOR+AUX",,IP54,,有能,,台,8,2723.893805309735,0.13,3078,24624,2025.6.18；此报价参考电解铜价：73418元/吨
10,始端箱,三相五限制,1600A,空箱,,IP54,,有能,,台,1,395.57522123893807,0.13,447,447,2025.6.18；此报价参考电解铜价：73419元/吨
11,密集母线槽,三相五限制,"密集母线槽 LS-
1600A/5P",4*115,,IP54,,有能,,米,117,1876.991150442478,0.13,2121,248157,2025.6.18；此报价参考电解铜价：73420元/吨
12,母线插接箱,三相五限制,300A,"XT5N400 TMA300 FF
3P+SOR+AUX",,IP54,,有能,,台,8,2723.893805309735,0.13,3078,24624,2025.6.18；此报价参考电解铜价：73421元/吨
13,始端箱,三相五限制,1600A,空箱,,IP54,,有能,,台,1,395.57522123893807,0.13,447,447,2025.6.18；此报价参考电解铜价：73422元/吨
14,密集母线槽,三相五限制,"密集母线槽 LS-
800A/5P",4*55,,IP54,,有能,,米,47,979.6460176991152,0.13,1107,52029,2025.6.18；此报价参考电解铜价：73423元/吨
15,母线插接箱,三相五限制,32A,"XT2N160 TMA32 FF
3P+SOR+AUX",,IP54,,有能,,台,1,1239.8230088495577,0.13,1401,1401,2025.6.18；此报价参考电解铜价：73424元/吨
16,母线插接箱,三相五限制,125A,"XT2N160 TMA125 FF
3P+SOR+AUX",,IP54,,有能,,台,8,1415.9292035398232,0.13,1600,12800,2025.6.18；此报价参考电解铜价：73425元/吨
17,始端箱,三相五限制,800A,空箱,,IP54,,有能,,台,1,395.57522123893807,0.13,447,447,2025.6.18；此报价参考电解铜价：73426元/吨
