XXX地块项目,,,,,,,
不锈钢生活水箱,,,,,,,
序号 设备材料名称                        设计选用        议标单位选用     交货期,设备材料名称,设计选用,,,,议标单位选用,交货期
1,编号/名称,"T5 不锈钢生活原水箱,分两格",,,,T5 不锈钢生活原水箱，分两格,30天
2,用途,T5 生活原水储存,,,,T5 生活原水储存,
3,位置,B2,,,,B2,
4,数量,1 座，分为两格,,,,1座，分为两格,
5,类型,装配式不锈钢水箱,,,,装配式不锈钢水箱,
6,制造商／产地来源,,,,,XXX,
7,材质：,SUS444,,,,SUS316L,
8,有效总容积：(m³),,40,,40,,
9,总尺寸：长 x 阔 x 高(mm),,5000x4000x3000,,5000x4000x3000,,
10,板材总面积：（平方米）,,,,,,
11,板厚(mm),,,,,,
,11.1    底板：,,,,2.0mm,,
,11.2    顶板：,,,,1.5mm,,
,11.3    侧板（从下至上）,,,,,,
,侧板 1：,,,,2.0mm,,
,侧板 2：,,,,1.5mm,,
,侧板 3：,,,,1.5mm,,
,侧板 4：,,,,,,
,侧板 5：,,,,,,
备注：需注明是否含保温（保温材质及厚度）、是否含外壳保护（保护层材质及厚度）,,,,,,,
"水箱数量、名称、位置及配套配置及技术规格说明书内相关要求。
",,,,,,,
