序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备        注
1,潜水排污泵,50WQ/E30-14-2.2,18,15,2840,2.2,14,0.13,1650,23100,,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
,自耦装置,DN:50,,,,,14,0.13,300,4200,,自耦装置材质：HT200；
,304不锈钢导杆,32*1.2,,,,,14,0.13,350,4900,,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
,304不锈钢链条,6mm,,,,,14,0.13,135,1890,,304不锈钢链条长度2.0米；长度每增加一米价格加115元
,控制柜,KQK/T-2ACE-2.2,,,,,7,0.13,1100,7700,,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
,浮球,GY-A1,,,,,21,0.13,115,2415,,控制线每增加一米，价格加15元。
2,潜水排污泵,50WQ/E15-25-2.2,18,20,2880,2.2,34,0.13,1650,56100,,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
,自耦装置,DN:50,,,,,34,0.13,300,10200,,自耦装置材质：HT200；
,304不锈钢导杆,32*1.2,,,,,34,0.13,350,11900,,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
,304不锈钢链条,6mm,,,,,34,0.13,135,4590,,304不锈钢链条长度2.0米；长度每增加一米价格加115元
,控制柜,KQK/T-2ACE-2.2,,,,,17,0.13,1100,18700,,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
,浮球,GY-A1,,,,,51,0.13,115,5865,,控制线每增加一米，价格加15元。
3,潜水排污泵,50WQ/E15-30-3,18,25,2880,3,50,0.13,2070,103500,,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
,自耦装置,DN:50,,,,,50,0.13,300,15000,,自耦装置材质：HT200；
,304不锈钢导杆,32*1.2,,,,,50,0.13,350,17500,,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
,304不锈钢链条,6mm,,,,,50,0.13,135,6750,,304不锈钢链条长度2.0米；长度每增加一米价格加115元
,控制柜,KQK/T-2ACE-3,,,,,25,0.13,1100,27500,,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
,浮球,GY-A1,,,,,75,0.13,115,8625,,控制线每增加一米，价格加15元。
4,潜水排污泵,50WQ/E15-30-3,18,28,2880,3,4,0.13,2070,8280,,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
,自耦装置,DN:50,,,,,4,0.13,300,1200,,自耦装置材质：HT200；
,304不锈钢导杆,32*1.2,,,,,4,0.13,350,1400,,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
,304不锈钢链条,6mm,,,,,4,0.13,135,540,,304不锈钢链条长度2.0米；长度每增加一米价格加115元
,控制柜,KQK/T-2ACE-3,,,,,2,0.13,1100,2200,,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
,浮球,GY-A1,,,,,6,0.13,115,690,,控制线每增加一米，价格加15元。
5,潜水排污泵,50WQ/E15-30-3,18,28,2880,3,2,0.13,2070,4140,,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
,自耦装置,DN:50,,,,,2,0.13,300,600,,自耦装置材质：HT200；
,304不锈钢导杆,32*1.2,,,,,2,0.13,350,700,,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
,304不锈钢链条,6mm,,,,,2,0.13,135,270,,304不锈钢链条长度2.0米；长度每增加一米价格加115元
,控制柜,KQK/T-2ACE-3,,,,,1,0.13,1100,1100,,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
,浮球,GY-A1,,,,,3,0.13,115,345,,控制线每增加一米，价格加15元。
6,潜水排污泵,65WQ/E30-18.5-3,36,15,2880,3,5,0.13,2000,10000,,2025.12.15，电缆线5米；增加一米价格加15元；泵体材质：HT200；泵轴材质：2CR13；
,自耦装置,DN:65,,,,,5,0.13,420,2100,,自耦装置材质：HT200；
,304不锈钢导杆,32*1.2,,,,,5,0.13,350,1750,,导杆；单根长度2米（2根一套）；单根长度每增加一米价格加200元
,304不锈钢链条,6mm,,,,,5,0.13,135,675,,304不锈钢链条长度2.0米；长度每增加一米价格加115元
,控制柜,KQK/T-2ACE-3,,,,,1,0.13,1100,1100,,一控二；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过3浮球控制（低水位：停泵，高水位启泵，超高水位发出报警信号），元器件：天正；2个断路器；
,控制柜,KQK/T-3ACE-3,,,,,1,0.13,1650,1650,,一控三；自动交替；超高水位双泵同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警，通过5浮球控制（低水位：停泵，1水位启1台泵，2水位启2台泵，3水位启三台泵，超高水位发出报警信号），元器件：天正；3个断路器；
,浮球,GY-A1,,,,,8,0.13,115,920,,控制线每增加一米，价格加15元。
7,潜水排污泵,65WQ/EC40-22-4,36,23,2890,4,12,0.13,2500,30000,,2025.12.15，电缆线5米；增加一米价格加30元；泵体材质：HT200；泵轴材质：2CR13；电机带过热保护及油室漏水电机漏水保护
