序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备注
1,潜水排污泵,FAB-C05 -25.035A/T025-538,8,22,/,2.5,16,0.13,5150,82400,,含电缆10米，泵体材质：不锈钢，泵轴：不锈钢
,自耦,,,,,,16,0.13,,,,含耦合
,导杆,每根1.5m,,,,,16,0.13,,,,镀锌
,链条,每条不锈钢链条1.5m,,,,,16,0.13,,,,不锈钢，包含卸扣
,控制柜,一控二,,,,,0,0.13,,,,自动交替；超高水位同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警
,浮球,一组2个浮球，控制线4m,,,,,8,0.13,58,464,,
2,潜水排污泵,FAB-C05 -25.035A/T025-538,10,22,/,2.5,2,0.13,5150,10300,,含电缆10米，泵体材质：不锈钢，泵轴：不锈钢
,自耦,,,,,,2,0.13,,,,含耦合
,导杆,每个1.5m,,,,,2,0.13,,,,镀锌
,链条,每条不锈钢链条1.5m,,,,,2,0.13,,,,不锈钢，包含卸扣
,控制柜,一控二,,,,,0,0.13,,,,自动交替；超高水位同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警
,浮球,一组2个浮球，控制线4m,,,,,1,0.13,58,58,,
3,潜水排污泵,FAB-C05 -25.035A/T025-538,15,20,/,2.5,2,0.13,5150,10300,,含电缆10米，泵体材质：不锈钢，泵轴：不锈钢
,自耦,,,,,,2,0.13,,,,含耦合
,导杆,每个1.5m,,,,,2,0.13,,,,镀锌
,链条,每条不锈钢链条1.5m,,,,,2,0.13,,,,不锈钢，包含卸扣
,控制柜,一控二,,,,,0,0.13,,,,自动交替；超高水位同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警
,浮球,一组2个浮球，控制线4m,,,,,1,0.13,58,58,,
4,潜水排污泵,潜污泵 FAB-C05 - 35.035A/T039-538,25,22,/,3.9,64,0.13,5893,377152,,含电缆10米，泵体材质：不锈钢，泵轴：不锈钢
,自耦,,,,,,64,0.13,,,,含耦合
,导杆,每个1.5m,,,,,64,0.13,,,,镀锌
,链条,每条不锈钢链条1.5m,,,,,64,0.13,,,,不锈钢，包含卸扣
,控制柜,一控二,,,,,0,0.13,,,,自动交替；超高水位同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警
,浮球,一组2个浮球，控制线4m,,,,,32,0.13,58,1856,,
5,潜水排污泵,潜污泵 FAB-C05 - 35.035A/T039-538,25,25,/,3.9,6,0.13,5893,35358,,含电缆10米，泵体材质：不锈钢，泵轴：不锈钢
,自耦,,,,,,6,0.13,,,,含耦合
,导杆,每个1.5m,,,,,6,0.13,,,,镀锌
,链条,每条不锈钢链条1.5m,,,,,6,0.13,,,,不锈钢，包含卸扣
,控制柜,一控三,,,,,0,0.13,,,,自动交替；超高水位同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警
,浮球,一组3个浮球，控制线6m,,,,,2,0.13,58,116,,
6,潜水排污泵,潜污泵 FAB-C06 - 29.060A/T050-538,36,25,/,5,6,0.13,6742,40452,,含电缆10米，泵体材质：不锈钢，泵轴：不锈钢
,自耦,,,,,,6,0.13,,,,含耦合
,导杆,每个1.5m,,,,,6,0.13,,,,镀锌
,链条,每条不锈钢链条1.5m,,,,,6,0.13,,,,不锈钢，包含卸扣
,控制柜,一控二,,,,,0,0.13,,,,自动交替；超高水位同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警
,浮球,一组2个浮球，控制线4m,,,,,3,0.13,58,174,,
7,潜水排污泵,潜污泵 FAB-C06 - 29.060A/T050-538,40,22,/,5,18,0.13,6742,121356,,含电缆10米，泵体材质：不锈钢，泵轴：不锈钢
,自耦,,,,,,18,0.13,,,,含耦合
,导杆,每个1.5m,,,,,18,0.13,,,,镀锌
,链条,每条不锈钢链条1.5m,,,,,18,0.13,,,,不锈钢，包含卸扣
,控制柜,一控三,,,,,0,0.13,,,,自动交替；超高水位同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警
,浮球,一组3个浮球，控制线6m,,,,,6,0.13,58,348,,
8,潜水排污泵,潜污泵 FAB-C06 - 23.058A/T025-538,46.3,15,/,2.5,4,0.13,5188,20752,,含电缆10米，泵体材质：不锈钢，泵轴：不锈钢
,自耦,,,,,,4,0.13,,,,含耦合
,导杆,每个1.5m,,,,,4,0.13,,,,镀锌
,链条,每条不锈钢链条1.5m,,,,,4,0.13,,,,不锈钢，包含卸扣
,控制柜,一控四,,,,,0,0.13,,,,自动交替；超高水位同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警
,浮球,一组4个浮球，控制线8m,,,,,1,0.13,58,58,,
9,潜水排污泵,FAG80C45.80/110 DM 耦合怯-标准,65,22,/,11,3,0.13,15532,46596,,含电缆10米，泵体材质：不锈钢，泵轴：不锈钢
,自耦,,,,,,3,0.13,,,,含耦合
,导杆,每个1.5m,,,,,3,0.13,,,,镀锌
,链条,每条不锈钢链条1.5m,,,,,3,0.13,,,,不锈钢，包含卸扣
,控制柜,一控三,,,,,0,0.13,,,,自动交替；超高水位同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警
,浮球,一组3个浮球，控制线6m,,,,,1,0.13,58,58,,
10,污水提升一体化装置,FAB-S03 -32.019A/T015-538,12,22,/,1.5,2,0.13,22276,44552,,含电缆10米，泵体材质：不锈钢，泵轴：不锈钢
,自耦,,,,,,4,0.13,,,,含耦合
,导杆,每个1.5m,,,,,4,0.13,,,,镀锌
,链条,每条不锈钢链条1.5m,,,,,4,0.13,,,,不锈钢，包含卸扣
,控制柜,一控二,,,,,0,0.13,,,,自动交替；超高水位同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警
,浮球,一组2个浮球，控制线4m,,,,,2,0.13,58,116,,
11,潜水排污泵（人防）,潜污泵 FAB-C05 - 25.035A/T025-538,15,20,/,2.5,1,0.13,4736,4736,,含电缆10米，泵体材质：不锈钢，泵轴：不锈钢
,自耦,,,,,,1,0.13,,,,含耦合
,导杆,每个1.5m,,,,,1,0.13,,,,镀锌
,链条,每条不锈钢链条1.5m,,,,,1,0.13,,,,不锈钢，包含卸扣
,控制柜,一控一,,,,,0,0.13,,,,自动交替；超高水位同时启动；带BA接口：只监不控（运行、停止、故障）/带高液位报警
,浮球,一组1个浮球，控制线2m,,,,,1,0.13,,,,
