序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备注
1,潜水排污泵,100WQ65-20-7.5,65,20,,7.5,3,0.13,3200,9600,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-100,,,,,3,0.13,500,1500,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,3,0.13,650,1950,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,3,0.13,150,450,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-3ACL-7.5,,,,,1,0.13,3700,3700,申宝,"一控三；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
2,潜水排污泵,80WQ50-25-7.5,50,25,,7.5,2,0.13,2900,5800,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-80,,,,,2,0.13,400,800,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,2,0.13,650,1300,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,2,0.13,150,300,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-7.5,,,,,1,0.13,3700,3700,申宝,"一控二，自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；三个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
3,潜水排污泵,80WQ50-25-7.5,50,25,,7.5,2,0.13,2900,5800,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-80,,,,,2,0.13,400,800,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,2,0.13,650,1300,申宝,增加一米，价格加280；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,2,0.13,150,300,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-7.5,,,,,1,0.13,2500,2500,申宝,"一控二；自动交替带BA接口：只监不控
(运行、停止、故障)/带高液位报警，
不含浮球，断路器：施耐德，接触器，
继电器：正泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
4,潜水排污泵,65WQ25-18-3,25,18,,3,4,0.13,1550,6200,申宝,标配电缆5米；增加一米，价格加15；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,自耦,GAK-65,,,,,4,0.13,250,1000,申宝,2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢导杆,单根长度2米(2根一套),,,,,4,0.13,450,1800,申宝,增加一米，价格加240；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,不锈钢链条,长度3米,,,,,4,0.13,150,600,申宝,增加一米，价格加60；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付
,控制柜,SBKP-2ACL-3,,,,,2,0.13,1250,2500,申宝,"自动交替带BA接口：只监不控(运行、
停止、故障)/带高液位报警，不含浮球，
断路器：施耐德，接触器，继电器：正
泰；二个施耐德断路器；2025.12.10，无预付款，货到现场一个月付至到货款的95%，（六个月商业银行承兑汇票），结算金额5%，质保两年，无息支付"
