序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,,不锈钢弹性座封闸阀,DN150,RVHY-0150-10(热水型）,,,,,,,台,2,,,0.13,4335,8670,冠龙,2025.4.3，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
2,,不锈钢弹性座封闸阀,DN80,RVHY-0080-10(热水型）,,,,,,,台,30,,,0.13,1987,59610,冠龙,2025.4.3，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
3,,不锈钢弹性座封闸阀,DN65,RVHY-0065-10(热水型）,,,,,,,台,25,,,0.13,1590,39750,冠龙,2025.4.3，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
4,,不锈钢弹性座封闸阀,DN150,RVHY-0150-10(热水型）,,,,,,,台,2,,,0.13,4335,8670,冠龙,2025.4.3，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
5,,不锈钢弹性座封闸阀,DN80,RVHY-0080-10(热水型）,,,,,,,台,30,,,0.13,1987,59610,冠龙,2025.4.3，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
6,,不锈钢弹性座封闸阀,DN65,RVHY-0065-10(热水型）,,,,,,,台,25,,,0.13,1590,39750,冠龙,2025.4.3，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
7,,球墨铸铁弹性座封闸阀,DN100,RVHX-0100-10,,,,,,,台,15,,,0.13,893,13395,冠龙,2025.4.3，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
8,,球墨铸铁弹性座封闸阀,DN80,RVHX-0080-10,,,,,,,台,34,,,0.13,743,25262,冠龙,2025.4.3，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
9,,不锈钢丝口闸阀,DN50,Z15W0050-16P,,,,,,,台,30,,,0.13,213,6390,冠龙,2025.9.25，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
10,,不锈钢弹性座封闸阀闸阀（热水型）,DN65,RVHY-0065-10,,,,,,,台,20,,,0.13,1590,31800,冠龙,2025.9.25，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
11,,不锈钢弹性座封闸阀闸阀（热水型）,DN100,RVHY-0100-10,,,,,,,台,5,,,0.13,2410,12050,冠龙,2025.9.25，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
12,,球墨铸铁弹性座封闸阀,DN100,RVHX-0100-10,,,,,,,台,15,,,0.13,893,13395,冠龙,2025.9.25，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
13,,球墨铸铁弹性座封闸阀,DN50,RVHX-0050-10,,,,,,,台,1,,,0.13,520,520,冠龙,2025.9.25，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
14,,可调式减压阀（热水型）,DN80,200X-0080-10,,,,,,,台,16,,,0.13,3588,57408,冠龙,2025.9.25，无预付款，货到现场验收合格2月付至到货款80%，结算审核后付至90%，结算后付至97%，3%质保两年
