序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,,铜芯球墨铸铁外壳闸阀,DN80,Z41X-10Q,1.0Mpa,球墨铸铁,铜芯,铜,铁,橡胶,个,117,421.47,49311.99,0.13,6411.01,55723,上海贵龙,2025.10.17；
2,,铜芯球墨铸铁外壳闸阀,DN150,Z41X-10Q,1.0Mpa,球墨铸铁,铜芯,铜,铁,橡胶,个,4,815.49,3261.96,0.13,424.04,3686,上海贵龙,2025.10.17；
3,,铁壳铜芯旋启式止回阀,DN80,H44X-10Q,1.0Mpa,球墨铸铁,铜芯,/,/,橡胶,个,117,289.28,33845.76,0.13,4400.24,38246,上海贵龙,2025.10.17；
4,,铁壳铜芯旋启式止回阀,DN150,H44X-10Q,1.0Mpa,球墨铸铁,铜芯,/,/,橡胶,个,4,804.32,3217.28,0.13,418.72,3636,上海贵龙,2025.10.17；
5,,橡胶软接头,DN80,KXT,1.0Mpa,/,/,/,/,/,个,117,135.63,15868.71,0.13,2063.29,17932,上海贵龙,2025.10.17；
6,,橡胶软接头,DN150,KXT,1.0Mpa,/,/,/,/,/,个,4,294.43,1177.72,0.13,153.28,1331,上海贵龙,2025.10.17；
7,,铸铁壳不锈钢芯软密封闸阀,DN200,Z45X-10Q,1.0Mpa,铸铁,不锈钢芯,不锈钢,不锈钢,橡胶,个,2,1148.55,2297.1,0.13,298.9,2596,上海贵龙,2025.10.17；
8,,铸铁壳不锈钢芯软密封闸阀,DN100,Z45X-10Q,1.0Mpa,铸铁,不锈钢芯,不锈钢,不锈钢,橡胶,个,1,405.17,405.17,0.13,52.83,458,上海贵龙,2025.10.17；
9,,铸铁壳不锈钢芯软密封闸阀,DN80,Z45X-10Q,1.0Mpa,铸铁,不锈钢芯,不锈钢,不锈钢,橡胶,个,12,334.78,4017.36,0.13,522.64,4540,上海贵龙,2025.10.17；
10,,铸铁壳不锈钢芯软密封闸阀,DN65,Z45X-10Q,1.0Mpa,铸铁,不锈钢芯,不锈钢,不锈钢,橡胶,个,11,278.98,3068.78,0.13,399.22,3468,上海贵龙,2025.10.17；
11,,全黄铜质球阀,DN50,Q11F-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,75,122.75,9206.25,0.13,1196.75,10403,上海贵龙,2025.10.17；
12,,全黄铜质球阀,DN40,Q11F-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,45,78.98,3554.1,0.13,461.9,4016,上海贵龙,2025.10.17；
13,,全黄铜质球阀,DN32,Q11F-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,59,60.09,3545.31,0.13,460.69,4006,上海贵龙,2025.10.17；
14,,全黄铜质球阀,DN25,Q11F-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,83,33.47,2778.01,0.13,360.99,3139,上海贵龙,2025.10.17；
15,,全黄铜质球阀,DN20,Q11F-10T,1.0Mpa,黄铜,黄铜,/,/,丝扣,个,27,24.04,649.08,0.13,83.92,733,上海贵龙,2025.10.17；
