序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,给排水,闸阀,DN50（1.0MPa）,PN16S,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,325,195.57522123893807,63561.946902654876,13%%,8263.053097345135,71825.00000000001,KIZZ,青铜丝扣暗杆闸阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
2,给排水,闸阀,DN50（1.6MPa）,PN16S,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,35,195.57522123893807,6845.132743362832,13%%,889.8672566371682,7735,KIZZ,青铜丝扣暗杆闸阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
3,给排水,闸阀,DN40（1.0MPa）,PN16S,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,38,138.05309734513276,5246.017699115045,13%%,681.9823008849559,5928.000000000001,KIZZ,青铜丝扣暗杆闸阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
4,给排水,闸阀,DN40（1.6MPa）,PN16S,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,19,138.05309734513276,2623.0088495575224,13%%,340.99115044247793,2964.0000000000005,KIZZ,青铜丝扣暗杆闸阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
5,给排水,闸阀,DN40（2.5MPa）,PN25S,2.5Mpa,青铜,青铜,青铜,青铜,青铜,个,8,246.01769911504428,1968.1415929203542,13%%,255.85840707964607,2224.0000000000005,KIZZ,青铜丝扣闸阀（PN25），2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
6,给排水,闸阀,DN32（1.0MPa）,PN16S,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,11,103.53982300884957,1138.9380530973453,13%%,148.0619469026549,1287.0000000000002,KIZZ,青铜丝扣暗杆闸阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
7,给排水,闸阀,DN32（1.6MPa）,PN16S,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,23,103.53982300884957,2381.41592920354,13%%,309.58407079646025,2691.0000000000005,KIZZ,青铜丝扣暗杆闸阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
8,给排水,闸阀,DN25（1.0MPa）,PN16S,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,598,81.41592920353983,48686.72566371682,13%%,6329.274336283186,55016,KIZZ,青铜丝扣暗杆闸阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
9,给排水,闸阀,DN25（1.6MPa）,PN16S,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,331,81.41592920353983,26948.672566371686,13%%,3503.3274336283193,30452.000000000007,KIZZ,青铜丝扣暗杆闸阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
10,给排水,闸阀,DN20（1.0MPa）,PN16S,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,10,62.83185840707965,628.3185840707965,13%%,81.68141592920355,710.0000000000001,KIZZ,青铜丝扣暗杆闸阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
11,给排水,闸阀,DN20（1.6MPa）,PN16S,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,3,62.83185840707965,188.49557522123894,13%%,24.504424778761063,213,KIZZ,青铜丝扣暗杆闸阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
12,给排水,闸阀,DN15（1.0MPa）,PN16S,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,2,59.29203539823009,118.58407079646018,13%%,15.415929203539823,134,KIZZ,青铜丝扣暗杆闸阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
13,给排水,截止阀,DN15（1.0MPa）,PN16A,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,2,51.32743362831859,102.65486725663717,13%%,13.345132743362834,116.00000000000001,KIZZ,青铜丝扣截止阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
14,给排水,截止阀, DN15（1.6MPa）,PN16A,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,2,51.32743362831859,102.65486725663717,13%%,13.345132743362834,116.00000000000001,KIZZ,青铜丝扣截止阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
15,给排水,截止阀,DN20（1.6MPa）,PN16A,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,723,56.63716814159292,40948.672566371686,13%%,5323.327433628319,46272.00000000001,KIZZ,青铜丝扣截止阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
16,给排水,截止阀,DN25（1.0MPa）,PN16A,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,14,86.72566371681417,1214.1592920353983,13%%,157.8407079646018,1372,KIZZ,青铜丝扣截止阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
17,给排水,截止阀,DN25（2.5MPa）,PN25A,2.5Mpa,青铜,青铜,青铜,青铜,青铜,个,1,104.42477876106196,104.42477876106196,13%%,13.575221238938054,118.00000000000001,KIZZ,青铜丝扣截止阀（PN25），2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
18,给排水,截止阀,DN32（1.6MPa）,PN16A,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,15,111.50442477876108,1672.566371681416,13%%,217.43362831858408,1890.0000000000002,KIZZ,青铜丝扣截止阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
19,给排水,截止阀,DN40（1.6MPa）,PN16A,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,26,174.33628318584073,4532.743362831859,13%%,589.2566371681417,5122,KIZZ,青铜丝扣截止阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
20,给排水,截止阀, DN50（1.0MPa）,PN16A,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,1,240.70796460176993,240.70796460176993,13%%,31.29203539823009,272,KIZZ,青铜丝扣截止阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
21,给排水,截止阀,DN50（1.6MPa）,PN16A,1.6Mpa,青铜,青铜,青铜,青铜,青铜,个,14,240.70796460176993,3369.911504424779,13%%,438.0884955752213,3808.0000000000005,KIZZ,青铜丝扣截止阀，2025.11.03，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额75%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
