序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,,Y型过滤器,DN50,SY11-16T,,,,,,,只,2,118.58407079646018,237.16814159292036,0.13,30.831858407079647,268,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
2,,Y型过滤器,DN32,SY11-16T,,,,,,,只,1,58.407079646017706,58.407079646017706,0.13,7.5929203539823025,66.00000000000001,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
3,,Y型过滤器,DN40,SY11-16T,,,,,,,只,1,70.79646017699116,70.79646017699116,0.13,9.203539823008851,80.00000000000001,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
4,,Y型过滤器,DN25,SY11-16T,,,,,,,只,4,42.47787610619469,169.91150442477877,0.13,22.08849557522124,192,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
5,,Y型过滤器,DN20,SY11-16T,,,,,,,只,4,29.203539823008853,116.81415929203541,0.13,15.185840707964605,132.00000000000003,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
6,,倒流防止器,DN20,SDFQ1X-20,,,,,,,只,22,104.42477876106196,2297.345132743363,0.13,298.6548672566372,2596.0000000000005,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
7,,倒流防止器,DN50,SDFQ1X-50,,,,,,,只,1,393.8053097345133,393.8053097345133,0.13,51.19469026548673,445,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
8,,倒流防止器,DN40,SDFQ1X-40,,,,,,,只,1,263.7168141592921,263.7168141592921,0.13,34.28318584070797,298.00000000000006,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
9,,倒流防止器,DN32,SDFQ1X-32,,,,,,,只,1,206.19469026548674,206.19469026548674,0.13,26.805309734513276,233.00000000000003,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
10,,倒流防止器,DN25,SDFQ1X-25,,,,,,,只,1,138.05309734513276,138.05309734513276,0.13,17.94690265486726,156,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
11,,倒流防止器,DN20,SDFQ1X-20,,,,,,,只,12,104.42477876106196,1253.0973451327436,0.13,162.90265486725667,1416.0000000000002,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
12,,倒流防止器,DN32,SDFQ1X-32,,,,,,,只,3,206.19469026548674,618.5840707964602,0.13,80.41592920353983,699,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
13,,倒流防止器,DN25,SDFQ1X-25,,,,,,,只,1,138.05309734513276,138.05309734513276,0.13,17.94690265486726,156,埃美柯,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
