序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,给排水,PVC球阀,DN100,,,,,,,,个,10,115.04424778761063,1150.4424778761063,0.13,149.55752212389382,1300,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
2,给排水,PVC球阀,DN100,,,,,,,,个,10,398.2300884955753,3982.3008849557527,0.13,517.6991150442478,4500.000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
3,给排水,Y型过滤器,DN80,,,,,,,,个,1,265.4867256637168,265.4867256637168,0.13,34.51327433628319,300,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
4,给排水,Y型过滤器,DN150,,,,,,,,个,2,575.2212389380531,1150.4424778761063,0.13,149.55752212389382,1300,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
5,给排水,Y型过滤器,DN80,,,,,,,,个,3,265.4867256637168,796.4601769911504,0.13,103.53982300884957,900,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
6,给排水,Y型过滤器,DN65,,,,,,,,个,1,221.23893805309737,221.23893805309737,0.13,28.76106194690266,250.00000000000003,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
7,给排水,补偿器,DN200,,,,,,,,个,2,777.8761061946904,1555.7522123893807,0.13,202.2477876106195,1758.0000000000002,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
8,给排水,倒流防止器,DN100,,,,,,,,个,1,1592.920353982301,1592.920353982301,0.13,207.07964601769916,1800.0000000000002,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
9,给排水,倒流防止器,DN80,,,,,,,,个,1,1327.4336283185842,1327.4336283185842,0.13,172.56637168141594,1500,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
10,给排水,倒流防止器,DN65,,,,,,,,个,1,1061.9469026548672,1061.9469026548672,0.13,138.05309734513276,1200,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
11,给排水,倒流防止器,DN80,,,,,,,,个,1,1327.4336283185842,1327.4336283185842,0.13,172.56637168141594,1500,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
12,给排水,蝶阀,DN350,,,,,,,,个,4,1207.0796460176991,4828.3185840707965,0.13,627.6814159292036,5456,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
13,给排水,蝶阀,DN250,,,,,,,,个,40,688.495575221239,27539.823008849562,0.13,3580.176991150443,31120.000000000004,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
14,给排水,蝶阀,DN200,,,,,,,,个,12,507.96460176991155,6095.575221238939,0.13,792.424778761062,6888.000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
15,给排水,蝶阀,DN150,,,,,,,,个,3,293.8053097345133,881.4159292035399,0.13,114.5840707964602,996.0000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
16,给排水,蝶阀,DN80,,,,,,,,个,3,150.4424778761062,451.32743362831866,0.13,58.67256637168143,510.0000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
17,给排水,蝶阀,DN70,,,,,,,,个,4,115.04424778761063,460.1769911504425,0.13,59.82300884955753,520,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
18,给排水,蝶阀,DN65,,,,,,,,个,8,115.04424778761063,920.353982300885,0.13,119.64601769911506,1040,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
19,给排水,止回阀,DN250,,,,,,,,个,7,1307.9646017699117,9155.752212389381,0.13,1190.2477876106195,10346,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
20,给排水,止回阀,DN200,,,,,,,,个,2,1061.9469026548672,2123.8938053097345,0.13,276.1061946902655,2400,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
21,给排水,蝶阀,DN300,,,,,,,,个,20,964.6017699115046,19292.03539823009,0.13,2507.964601769912,21800.000000000004,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
22,给排水,蝶阀,DN250,,,,,,,,个,5,688.495575221239,3442.4778761061953,0.13,447.5221238938054,3890.0000000000005,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
23,给排水,蝶阀,DN200,,,,,,,,个,6,507.96460176991155,3047.7876106194694,0.13,396.212389380531,3444.0000000000005,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
24,给排水,止回阀,DN300,,,,,,,,个,4,1890.265486725664,7561.061946902656,0.13,982.9380530973453,8544.000000000002,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
25,给排水,止回阀,DN200,,,,,,,,个,2,1061.9469026548672,2123.8938053097345,0.13,276.1061946902655,2400,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
26,给排水,蝶阀,DN350,,,,,,,,个,4,1207.0796460176991,4828.3185840707965,0.13,627.6814159292036,5456,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
27,给排水,蝶阀,DN125,,,,,,,,个,30,230.08849557522126,6902.654867256638,0.13,897.3451327433629,7800.000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
28,给排水,蝶阀,DN100,,,,,,,,个,32,221.23893805309737,7079.646017699116,0.13,920.3539823008851,8000.000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
29,给排水,蝶阀,DN80,,,,,,,,个,34,150.4424778761062,5115.044247787611,0.13,664.9557522123895,5780.000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
30,给排水,蝶阀,DN70,,,,,,,,个,32,115.04424778761063,3681.41592920354,0.13,478.58407079646025,4160,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
31,给排水,对夹蝶阀,DN100,,,,,,,,个,4,221.23893805309737,884.9557522123895,0.13,115.04424778761064,1000.0000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
32,给排水,对夹蝶阀,DN80,,,,,,,,个,80,150.4424778761062,12035.398230088496,0.13,1564.6017699115046,13600,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
33,给排水,对夹蝶阀,DN70,,,,,,,,个,80,115.04424778761063,9203.53982300885,0.13,1196.4601769911505,10400,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
34,给排水,蝶阀,DN300,,,,,,,,个,6,964.6017699115046,5787.610619469027,0.13,752.3893805309735,6540.000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
35,给排水,蝶阀,DN250,,,,,,,,个,7,688.495575221239,4819.469026548673,0.13,626.5309734513276,5446.000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
36,给排水,蝶阀,DN200,,,,,,,,个,13,507.96460176991155,6603.53982300885,0.13,858.4601769911505,7462.000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
37,给排水,蝶阀,DN150,,,,,,,,个,12,293.8053097345133,3525.6637168141597,0.13,458.3362831858408,3984.0000000000005,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
38,给排水,蝶阀,DN100,,,,,,,,个,2,221.23893805309737,442.47787610619474,0.13,57.52212389380532,500.00000000000006,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
39,给排水,蝶阀,DN80,,,,,,,,个,7,150.4424778761062,1053.0973451327434,0.13,136.90265486725664,1190,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
40,给排水,闸阀,DN70,,,,,,,,个,2,256.63716814159295,513.2743362831859,0.13,66.72566371681417,580.0000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
41,给排水,止回阀,DN100,,,,,,,,个,3,371.6814159292036,1115.0442477876109,0.13,144.95575221238943,1260.0000000000002,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
42,给排水,蝶阀,DN80,,,,,,,,个,2,150.4424778761062,300.8849557522124,0.13,39.115044247787615,340.00000000000006,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
43,给排水,蝶阀,DN125,,,,,,,,个,8,230.08849557522126,1840.70796460177,0.13,239.29203539823013,2080,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
44,给排水,蝶阀,DN100,,,,,,,,个,52,221.23893805309737,11504.424778761064,0.13,1495.5752212389384,13000.000000000002,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
45,给排水,蝶阀,DN80,,,,,,,,个,8,150.4424778761062,1203.5398230088497,0.13,156.46017699115046,1360.0000000000002,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
46,给排水,蝶阀,DN70,,,,,,,,个,12,115.04424778761063,1380.5309734513276,0.13,179.4690265486726,1560.0000000000002,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
47,给排水,对夹蝶阀,DN100,,,,,,,,个,4,221.23893805309737,884.9557522123895,0.13,115.04424778761064,1000.0000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
48,给排水,对夹蝶阀,DN80,,,,,,,,个,4,150.4424778761062,601.7699115044248,0.13,78.23008849557523,680.0000000000001,良工,2025.4.21，货到现场验收合格后2个月支付至到货金额的70%，竣工验收合格后付至到货金额的80%，结算完成付至结算金额的97%，3%质保金2年
