序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
1,70°电动防火阀,BED,1250*630,,1,只,2211,2211,上海久袁,2025.11.20
2,70°防火阀FD,FD,1600*800,,2,只,2353,4706,上海久袁,2025.11.20
3,70°防火阀FD,FD,1600*630,,1,只,2107,2107,上海久袁,2025.11.20
4,70°防火阀FD,FD,1000*1200,,2,只,2671,5342,上海久袁,2025.11.20
5,70°防火阀FD,FD,1000*1000,,8,只,1975,15800,上海久袁,2025.11.20
6,70°防火阀FD,FD,1000*630,,3,只,1364,4092,上海久袁,2025.11.20
7,70°防火阀FD,FD,1000*500,,1,只,1244,1244,上海久袁,2025.11.20
8,70°防火阀FD,FD,1000*400,,1,只,1150,1150,上海久袁,2025.11.20
9,70°防火阀FD,FD,800*800,,3,只,1355,4065,上海久袁,2025.11.20
10,70°防火阀FD,FD,800*500,,5,只,1102,5510,上海久袁,2025.11.20
11,70°防火阀FD,FD,800*400,,1,只,1019,1019,上海久袁,2025.11.20
12,70°防火阀FD,FD,630*630,,7,只,1083,7581,上海久袁,2025.11.20
13,70°防火阀FD,FD,630*400,,1,只,908,908,上海久袁,2025.11.20
14,70°防火阀FD,FD,630*320,,8,只,848,6784,上海久袁,2025.11.20
15,70°防火阀FD,FD,630*250,,2,只,794,1588,上海久袁,2025.11.20
16,70°防火阀FD,FD,630*200,,3,只,756,2268,上海久袁,2025.11.20
17,70°防火阀,FD,580*580,,6,个,1008,6048,上海久袁,2025.11.20
18,70°防火阀FD,FD,530*530,,2,只,935,1870,上海久袁,2025.11.20
19,70°防火阀FD,FD,500*500,,13,只,894,11622,上海久袁,2025.11.20
20,70°防火阀FD,FD,500*250,,17,只,718,12206,上海久袁,2025.11.20
21,70°FD防火阀,FD,430*430,,9,个,798,7182,上海久袁,2025.11.20
22,70°防火阀FD,FD,400*320,,7,只,706,4942,上海久袁,2025.11.20
23,70°防火阀FD,FD,400*250,,1,只,660,660,上海久袁,2025.11.20
24,70°防火阀FD,FD,400*200,,8,只,628,5024,上海久袁,2025.11.20
25,70°防火阀FD,FD,400*160,,1,只,602,602,上海久袁,2025.11.20
26,70°防火阀FD,FD,380*380,,25,只,732,18300,上海久袁,2025.11.20
27,70°防火阀FD,FD,320*250,,2,只,613,1226,上海久袁,2025.11.20
28,70°防火阀FD,FD,320*120,,3,只,534,1602,上海久袁,2025.11.20
29,70°防火阀FD,FD,300*300,,35,只,632,22120,上海久袁,2025.11.20
30,70°防火阀FD,FD,250*160,,3,只,521,1563,上海久袁,2025.11.20
31,70°防火阀FD,FD,200*200,,15,只,516,7740,上海久袁,2025.11.20
32,70°防火阀FD,FD,200*120,,4,只,470,1880,上海久袁,2025.11.20
33,70°防火阀FD,FD,160*120,,3,只,449,1347,上海久袁,2025.11.20
34,70°防火阀FD,FD,120*120,,123,只,428,52644,上海久袁,2025.11.20
35,多叶调节阀VD,VD,1600*800,,1,只,1144,1144,上海久袁,2025.11.20
36,多叶调节阀VD,VD,1250*630,,1,只,829,829,上海久袁,2025.11.20
37,多叶调节阀VD,VD,1000*1200,,1,只,1033,1033,上海久袁,2025.11.20
38,多叶调节阀VD,VD,800*500,,1,只,561,561,上海久袁,2025.11.20
39,多叶调节阀VD,VD,630*500,,5,只,489,2445,上海久袁,2025.11.20
40,多叶调节阀VD,VD,630*320,,1,只,409,409,上海久袁,2025.11.20
41,多叶调节阀VD,VD,630*200,,6,只,342,2052,上海久袁,2025.11.20
42,多叶调节阀VD,VD,500*320,,7,只,361,2527,上海久袁,2025.11.20
43,多叶调节阀VD,VD,500*250,,2,只,331,662,上海久袁,2025.11.20
44,多叶调节阀VD,VD,500*200,,2,只,299,598,上海久袁,2025.11.20
45,多叶调节阀VD,VD,400*320,,4,只,324,1296,上海久袁,2025.11.20
46,多叶调节阀VD,VD,400*250,,5,只,297,1485,上海久袁,2025.11.20
47,多叶调节阀VD,VD,400*200,,15,只,267,4005,上海久袁,2025.11.20
48,多叶调节阀VD,VD,320*250,,4,只,269,1076,上海久袁,2025.11.20
49,多叶调节阀VD,VD,320*200,,19,只,238,4522,上海久袁,2025.11.20
50,多叶调节阀VD,VD,320*160,,1,只,226,226,上海久袁,2025.11.20
51,多叶调节阀VD,VD,320*120,,1,只,211,211,上海久袁,2025.11.20
52,多叶调节阀VD,VD,250*250,,1,只,244,244,上海久袁,2025.11.20
53,多叶调节阀VD,VD,250*200,,65,只,217,14105,上海久袁,2025.11.20
54,多叶调节阀VD,VD,250*160,,11,只,203,2233,上海久袁,2025.11.20
55,多叶调节阀VD,VD,250*120,,3,只,188,564,上海久袁,2025.11.20
56,多叶调节阀VD,VD,200*250,,1,只,228,228,上海久袁,2025.11.20
57,多叶调节阀VD,VD,200*200,,5,只,200,1000,上海久袁,2025.11.20
58,多叶调节阀VD,VD,200*160,,14,只,186,2604,上海久袁,2025.11.20
59,止回阀NRD,NRD,630*320,,2,只,374,748,上海久袁,2025.11.20
60,止回阀NRD,NRD,630*200,,2,只,322,644,上海久袁,2025.11.20
61,止回阀NRD,NRD,500*320,,5,只,328,1640,上海久袁,2025.11.20
62,止回阀NRD,NRD,500*250,,7,只,299,2093,上海久袁,2025.11.20
63,止回阀NRD,NRD,400*200,,5,只,244,1220,上海久袁,2025.11.20
64,密闭电动风阀,,1000*1200,,2,只,3077,6154,上海久袁,2025.11.20
65,密闭电动风阀,,500*250,,5,只,1249,6245,上海久袁,2025.11.20
66,ZP100消声器,ZP100,1600*800*1000（长）,,5,只,5216,26080,上海久袁,2025.11.20
67,ZP100消声器,ZP100,1000*1200*1000（长）,,2,只,4819,9638,上海久袁,2025.11.20
68,ZP100消声器,ZP100,1000*630*1000（长）,,2,只,3352,6704,上海久袁,2025.11.20
69,ZP100消声器,ZP100,630*250*1000（长）,,1,只,1697,1697,上海久袁,2025.11.20
70,ZP100消声器,ZP100,500*250*1000（长）,,7,只,1458,10206,上海久袁,2025.11.20
71,ZP100消声器,ZP100,400*320*1000（长）,,11,只,1415,15565,上海久袁,2025.11.20
72,单层格栅风口AV/D,AV/D,1500*1000,,1,只,1687,1687,上海久袁,2025.11.20
73,单层格栅风口AH/D,AH/D,1500*1000,,1,只,1687,1687,上海久袁,2025.11.20
74,双层格栅风口BH,BH,1400*1400,,3,只,1495,4485,上海久袁,2025.11.20
75,单层格栅风口AH,AH,1200*1200,,3,只,886,2658,上海久袁,2025.11.20
76,单层格栅风口AV,AV,1000*1000,,3,只,643,1929,上海久袁,2025.11.20
77,单层格栅风口AV/D,AV/D,1000*400,,2,只,532,1064,上海久袁,2025.11.20
78,单层格栅风口AV/D,AV/D,800*500,,3,只,528,1584,上海久袁,2025.11.20
79,单层格栅风口AV,AV,800*500,,2,只,307,614,上海久袁,2025.11.20
80,单层格栅风口AV,AV,630*630,,2,只,303,606,上海久袁,2025.11.20
81,单层格栅风口AV,AV,500*500,,6,只,217,1302,上海久袁,2025.11.20
82,单层格栅风口AV,AV,500*300,,3,只,156,468,上海久袁,2025.11.20
83,单层格栅风口AV,AV,400*800,,7,只,261,1827,上海久袁,2025.11.20
84,单层格栅风口AV,AV,400*600,,5,只,211,1055,上海久袁,2025.11.20
85,单层格栅风口AV,AV,400*400,,1,只,162,162,上海久袁,2025.11.20
86,单层格栅风口AV/D,AV/D,400*400,,3,只,259,777,上海久袁,2025.11.20
87,单层格栅风口AV,AV,400*200,,5,只,111,555,上海久袁,2025.11.20
88,单层格栅风口AV,AV,300*150,,2,只,86,172,上海久袁,2025.11.20
89,单层格栅风口AV,AV,300*1000,,2,只,256,512,上海久袁,2025.11.20
90,单层格栅风口AV/D,AV/D,300*600,,2,只,280,560,上海久袁,2025.11.20
91,单层格栅风口AV/D,AV/D,300*300,,5,只,192,960,上海久袁,2025.11.20
92,单层格栅风口AV/D,AV/D,300*200,,3,只,162,486,上海久袁,2025.11.20
93,单层格栅风口AV,AV,200*200,,5,只,83,415,上海久袁,2025.11.20
94,单层格栅风口AV,AV,200*120,,3,只,71,213,上海久袁,2025.11.20
95,单层格栅风口AV,AV,120*120,,599,只,62,37138,上海久袁,2025.11.20
96,防火风口GF,GF,1000*1000,,5,只,2729,13645,上海久袁,2025.11.20
97,防火风口GF,GF,800*800,,3,只,1868,5604,上海久袁,2025.11.20
98,防火风口GF,GF,500*500,,4,只,1138,4552,上海久袁,2025.11.20
99,防火风口GF,GF,300*300,,20,只,758,15160,上海久袁,2025.11.20
