序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
1,单层格栅风口,AH,200*200,铝合金,31,只,44,1364,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
2,单层格栅风口带阀,AV/D,1500*2000,铝合金,1,只,1409,1409,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
3,单层格栅风口带阀,AV/D,1000*1000,铝合金,5,只,506,2530,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
4,单层格栅风口带阀,AV/D,1000*1200,铝合金,7,只,596,4172,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
5,单层格栅风口带阀,AV/D,1000*600,铝合金,3,只,325,975,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
6,单层格栅风口带阀,AV/D,1000*800,铝合金,17,只,416,7072,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
7,单层格栅风口带阀,AV/D,1200*250,铝合金,292,只,150,43800,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
8,单层格栅风口带阀,AV/D,120*200,铝合金,31,只,65,2015,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
9,单层格栅风口带阀,AV/D,1400*1400,铝合金,2,只,940,1880,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
10,单层格栅风口带阀,AV/D,1500*1000,铝合金,2,只,732,1464,上海雨田,上海雨甜机电设备有限公司 无预付款；货到现场后二个月付至到货款的75%；工程竣工验收合格后付至到货款的80%；结算完成付至97%；质保金3%（竣工验收备案之日起3年后支付1%，4年后支付1%，7年后支付1%）
