序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
1,280℃防火阀,280℃,600*600,,36,个,655,23580,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
2,280℃防火阀,280℃,800*320,,24,个,601,14424,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
3,280℃防火阀,280℃,1000*400,,18,个,725,13050,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
4,70℃防火阀,70℃,400*400,,22,个,478,10516,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
5,70℃防火阀,70℃,630*500,,14,个,621,8694,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
6,70℃防火阀,70℃,800*320,,10,个,601,6010,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
7,70℃防火阀,70℃,800*400,,4,个,643,2572,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
8,70℃防火阀,70℃,1000*600,,4,个,843,3372,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
9,70℃防火阀,70℃,120*120,,3,个,271,813,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
10,70℃防火阀,70℃,500*320,,22,个,484,10648,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
11,70℃防火阀,70℃,800*400,,7,个,643,4501,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
12,70℃防火阀,70℃,700*630,,12,个,717,8604,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
13,70℃防火阀,70℃,1000*800,,4,个,960,3840,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
14,70℃防火阀,70℃,630*500,,4,个,621,2484,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
15,70℃防火阀,70℃,120*120,,3,个,271,813,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
16,70℃防火阀,70℃,400*320,,12,个,445,5340,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
17,70℃防火阀,70℃,500*320,,6,个,484,2904,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
18,70℃防火阀,70℃,630*500,,8,个,621,4968,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
19,70℃防火阀,70℃,500*1600,,10,个,1211,12110,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
20,70℃防火阀,70℃,800*630,,4,个,765,3060,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
21,70℃防火阀(防爆型),70℃,400*200,,12,个,1236,14832,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
22,70℃防火阀(防爆型),70℃,500*200,,12,个,1275,15300,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
23,70℃防火阀(防爆型),70℃,630*400,,22,个,1430,31460,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
24,70℃防火阀(防爆型),70℃,800*320,,34,个,1460,49640,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
25,70℃防火阀(防爆型),70℃,800*400,,22,个,1506,33132,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
26,70℃防火阀(防爆型),70℃,800*320,,4,个,1460,5840,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
27,常闭排烟阀(含手动开启装置),,600*600,,36,个,838,30168,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
28,常闭排烟阀(含手动开启装置 ),,800*320,,24,个,779,18696,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
29,电动风阀(防爆型)FM1,FM1,320*200,,3,个,973,2919,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
30,电动风阀(防爆型)FM1,FM1,400*250,,3,个,1009,3027,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
31,电动风阀(防爆型)FM1,FM1,400*320,,12,个,1030,12360,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
32,电动风阀(防爆型)FM1,FM1,630*320,,12,个,1097,13164,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
33,电动风阀(防爆型)FM2,FM2,500*160,,22,个,1007,22154,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
34,电动风阀(防爆型)FM2,FM2,630*500,,4,个,1161,4644,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
35,电动风阀(防爆型)FM2,FM2,630*600,,12,个,1197,14364,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
36,电动风阀(防爆型)FM2,FM2,800*200,,12,个,1099,13188,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
37,电动风阀(防爆型)FM2,FM2,800*320,,32,个,1146,36672,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
38,电动风阀(防爆型)FM2,FM2,500*1600,,10,个,1513,15130,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
39,电动风阀(防爆型)FM3,FM3,500*250,,3,个,1036,3108,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
40,电动风阀(防爆型)FM3,FM3,800*400,,22,个,1177,25894,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
41,电动风阀FM1,FM1,500*400,,12,个,1029,12348,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
42,电动风阀FM2,FM2,320*250,,4,个,950,3800,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
43,电动风阀FM2,FM2,400*250,,5,个,967,4835,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
44,电动风阀FM2,FM2,800*500,,4,个,1134,4536,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
45,电动风阀FM7,FM7,320*200,,5,个,938,4690,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
46,电动风阀FM7,FM7,400*200,,5,个,955,4775,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
47,电动风阀FM7,FM7,400*250,,3,个,967,2901,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
48,电动风阀FM7,FM7,630*400,,9,个,1060,9540,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
49,电动风阀FM7,FM7,500*400,,9,个,1029,9261,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
50,手动对开多叶调节阀,,630*320,,3,个,258,774,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
51,手动对开多叶调节阀,,1000*500,,3,个,406,1218,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
52,手动对开多叶调节阀,,1000*400,,3,个,371,1113,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
53,手动对开多叶调节阀,,1500*800,,6,个,726,4356,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
54,止回阀,,800*500,,4,个,333,1332,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
55,止回阀,,1000*600,,4,个,420,1680,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
56,止回阀,,1000*400,,4,个,350,1400,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
57,止回阀(防爆型),,500*250,,3,个,235,705,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
58,止回阀(防爆型),,φ410,,4,个,286,1144,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
59,止回阀(防爆型),,φ710,,6,个,1226,7356,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
60,止回阀(防爆型),,φ1000,,6,个,1838,11028,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
61,单层百叶风口,,300*250,,3,个,39,117,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
62,单层百叶风口,,320*250,,3,个,40,120,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
63,单层百叶风口,,400*200,,9,个,40,360,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
64,单层百叶风口,,400*400,,24,个,52,1248,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
65,单层百叶风口,,400*600,,3,个,65,195,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
66,单层百叶风口,,400*800,,22,个,76,1672,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
67,单层百叶风口,,400*1500,,12,个,122,1464,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
68,单层百叶风口,,500*300,,59,个,51,3009,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
69,单层百叶风口,,500*400,,14,个,58,812,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
70,单层百叶风口,,550*300,,6,个,54,324,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
71,单层百叶风口,,600*500,,5,个,72,360,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
72,单层百叶风口,,600*600,,22,个,81,1782,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
73,单层百叶风口,,600*1200,,32,个,135,4320,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
74,单层百叶风口,,630*250,,4,个,53,212,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
75,单层百叶风口,,700*300,,12,个,65,780,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
76,单层百叶风口,,800*800,,4,个,119,476,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
77,单层百叶风口,,1000*600,,12,个,116,1392,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
78,单层百叶风口,,1200*600,,12,个,135,1620,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
79,单层百叶风口,,600*600,,80,个,81,6480,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
80,单层百叶风口,,300*200,,3,个,36,108,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
81,单层百叶风口,,630*500,,4,个,74,296,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
82,双层百叶风口(自带调节 阀 ),,1000*500,,10,个,246,2460,,2025.1.20；(1)、无预付款；(2)、货到现场验收合格一个月内付至送货金额97%；(3)、留结算金额3%质保金，质保二年，质保期自工程竣工验收合格之日起计算(质保金无息支付)。
