计价公式,,,
序号,产品名称,计算公式,备注（尺寸W*H：W=长/1000，H=宽/1000）
1,70度防火调节阀/70度防火阀/70度防火阀（带反馈信号）/280度防火阀（带反馈信号）,,
,,,
2,防火阀FVDK（不锈钢材质）,,
2,,,
3,,,
3,防火阀MEC/排烟阀BEC,,
4,,,
4,"电动防火阀（MEEH,MEE)",,
5,,,
5,排烟阀（BEE.BEEC),,
6,,,
6,多叶送风口/防火风口/多叶排烟口/正压送风口（GP，GF .GS. PS）,,
7,,,
7,手动调节阀/多叶调节风阀/调节蝶阀,,
8,电动调节阀，开关阀,,
8,止回阀,,
9,单层格栅风口,,
9,单层格栅风口带阀,,
10,"双层百叶风口,细叶斜出风散流器、自垂百叶",,
10,方型散流器,,
11,方型散流器(带阀）,,
11,双层格栅风口（带阀）,,
12,门铰型百叶带回风口（HH/F),,
12,球型风口,,
13,条形散流器/条形风口,,
13,消声器（请明确ZP或XZP型号）,,备注长度
14,静压箱，消声静压箱，,,
15,定风量阀,,
,******,,
,如有遗漏可补充,,
