序号,名称,型号,规格,镀锌钢板/不锈钢板厚度（参照技规）,数量,单位,含税单价（13%）,价税合计,品牌,备注
1,VD 手动调节阀,,320*160,,1,个,101,101,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
2,VD 手动调节阀,,250*160,,2,个,93,186,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
3,VD 手动调节阀,,2000*400,,1,个,498,498,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
4,AH 单层百叶风口,,600*1000,,1,个,136,136,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
5,方形散流器,,320*320,,50,个,70,3500,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
6,ZP100,,1250*800,,1,个,3599,3599,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
7,AH 单层百叶风口,,500*400,,1,个,62,62,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
8,AH 单层百叶风口,,600*600,,1,个,98,98,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
9,方形散流器,,320*320,,50,个,70,3500,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
10,VD 手动调节阀,,320*400,,1,个,145,145,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
11,VD 手动调节阀,,400*250,,2,个,118,236,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
12,VD 手动调节阀,,400*250,,1,个,118,118,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
13,VD 手动调节阀,,1000*400,,1,个,276,276,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
14,VD 手动调节阀,,800*630,,1,个,310,310,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
15,XZP100,,630*400,,1,个,1642,1642,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
16,VD 手动调节阀,,400*200,,3,个,109,327,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
17,VD 手动调节阀,,500*200,,1,个,126,126,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
18,VD 手动调节阀,,1000*500,,1,个,325,325,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
19,AH 单层百叶风口,,1500*400,,1,个,152,152,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
20,AH 单层百叶风口,,800*500,,2,个,101,202,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
21,AH 单层百叶风口,,800*600,,1,个,116,116,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
22,AH 单层百叶风口,,800*800,,1,个,145,145,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
23,AH 单层百叶风口,,600*600,,1,个,98,98,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
24,方形散流器,,320*320,,1484,个,70,103880,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
25,VD 手动调节阀,,1000*250,,1,个,222,222,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
26,VD 手动调节阀,,1000*200,,1,个,212,212,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
27,VD 手动调节阀,,630*200,,1,个,150,150,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
28,VD 手动调节阀,,400*200,,1,个,109,109,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
29,VD 手动调节阀,,160*160,,3,个,77,231,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
30,VD 手动调节阀,,400*320,,1,个,145,145,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
31,VD 手动调节阀,,630*320,,1,个,189,189,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
32,VD 手动调节阀,,1000*400,,1,个,276,276,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
33,VD 手动调节阀,,800*250,,1,个,187,187,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
34,VD 手动调节阀,,800*400,,1,个,237,237,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
35,VD 手动调节阀,,500*250,,1,个,136,136,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
36,VD 手动调节阀,,800*320,,1,个,222,222,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
37,VD 手动调节阀,,800*250,,1,个,187,187,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
38,VD 手动调节阀,,800*400,,1,个,237,237,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
39,VD 手动调节阀,,800*400,,1,个,237,237,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
40,VD 手动调节阀,,800*400,,1,个,237,237,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
41,VD 手动调节阀,,160*120,,2,个,71,142,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
42,VD 手动调节阀,,120*120,,1,个,64,64,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
43,VD 手动调节阀,,120*120,,2,个,64,128,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
44,VD 手动调节阀,,630*250,,1,个,158,158,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
45,VD 手动调节阀,,320*200,,1,个,101,101,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
46,VD 手动调节阀,,1000*320,,1,个,259,259,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
47,VD 手动调节阀,,500*400,,1,个,180,180,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
48,VD 手动调节阀,,800*320,,2,个,222,444,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
49,VD 手动调节阀,,200*200,,1,个,91,91,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
50,VD 手动调节阀,,250*200,,2,个,99,198,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
51,VD 手动调节阀,,400*200,,1,个,109,109,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
52,VD 手动调节阀,,500*200,,1,个,126,126,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
53,VD 手动调节阀,,400*200,,2,个,109,218,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
54,VD 手动调节阀,,800*250,,1,个,187,187,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
55,AH 单层百叶风口,,600*600,,1,个,98,98,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
56,AH 单层百叶风口,,1000*400,,1,个,101,101,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
57,AH 单层百叶风口,,600*600,,1,个,98,98,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
58,AH 单层百叶风口,,800*600,,1,个,116,116,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
59,AH 单层百叶风口,,500*500,,1,个,72,72,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
60,AH 单层百叶风口,,800*600,,2,个,116,232,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
61,AH 单层百叶风口,,600*500,,1,个,83,83,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
62,AH 单层百叶风口,,600*400,,1,个,71,71,靖江启达,2025.1.14，无预付款，货到现场验收合格2月内付至到货款80%，竣工验收后付至95%，5%质保2年
