序号,名称,型号,风盘管制,风量m³/h,数量,单位,过滤网材质,风盘本体价格,回风箱价格,滴水盘价格,单价合计,价税合计,品牌,备注滴水盘材质、长度
1,直流无刷卧式暗装风机盘管,SDCR200E30D21PBF-WA4,,340,66,台,,,,,956,63096,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
2,直流无刷卧式暗装风机盘管,SDCR400E30D21PBF-WA4,,680,47,台,,,,,1096,51512,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
3,直流无刷卧式暗装风机盘管,SDCR600E30D21PBF-WA4,,1020,169,台,,,,,1235,208715,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
4,直流无刷卧式暗装风机盘管,SDCR700E30D21PBF-WA4,,1190,1063,台,,,,,1408,1496704,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
5,直流无刷卧式暗装风机盘管,SDCR1000E30D21PBF-WA4,,1700,94,台,,,,,1917,180198,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
6,直流无刷卧式暗装风机盘管,SDCR1200E30D21PBF-WA4,,2040,9,台,,,,,1990,17910,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
7,直流无刷卧式暗装风机盘管,SDCR1400E30D21PBF-WA4,,2380,9,台,,,,,2230,20070,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
8,直流无刷卧式暗装风机盘管,SDCR200E30PBF-WA4,,340,5,台,,,,,866,4330,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
9,直流无刷卧式暗装风机盘管,SDCR400E30PBF-WA4,,680,5,台,,,,,999,4995,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
10,直流无刷卧式暗装风机盘管,SDCR600E30PBF-WA4,,1020,13,台,,,,,1134,14742,新晃,包含温控器、尼龙过滤网、运输费用，不含检测费，检测费每台7200元，2025.5.15，货到现场1个月支付到货金额的95%（6个月商票），质保金5%，2年。备注:以上价格包含温控器、尼龙过滤网、运输费用；不包含卸货费、风机盘管检测费；
